episode_number,agent_wins,random_wins,draws
10,6330,2631,1039
20,5518,2601,1881
30,6483,2528,989
40,6514,2497,989
50,6603,2433,964
60,6603,2344,1053
70,6622,2426,952
80,6561,2348,1091
90,6595,2405,1000
100,6571,2363,1066
110,6536,2314,1150
120,6444,2380,1176
130,6424,2374,1202
140,6424,2392,1184
150,6393,2360,1247
160,6439,2270,1291
170,6423,2264,1313
180,5139,3816,1045
190,5037,3883,1080
200,5236,3725,1039
210,5206,3700,1094
220,5235,3682,1083
230,5065,3898,1037
240,5173,3641,1186
250,5183,3751,1066
260,5284,3664,1052
270,5150,3773,1077
280,5432,3501,1067
290,5613,3240,1147
300,5840,3101,1059
310,5717,3212,1071
320,5854,3007,1139
330,5736,3070,1194
340,5461,3009,1530
350,5385,3042,1573
360,5453,2988,1559
370,5435,2971,1594
380,5439,3031,1530
390,5586,2896,1518
400,5704,2606,1690
410,5787,2559,1654
420,5552,2642,1806
430,5607,2662,1731
440,5603,2585,1812
450,5344,2441,2215
460,5368,2392,2240
470,5440,2410,2150
480,5387,2407,2206
490,5349,2525,2126
500,5455,2428,2117
510,5365,2477,2158
520,5314,2390,2296
530,5385,2316,2299
540,5241,2578,2181
550,5329,2577,2094
560,5302,2517,2181
570,5362,2506,2132
580,5352,2538,2110
590,5442,2334,2224
600,5309,2337,2354
610,5268,2456,2276
620,5321,2335,2344
630,5263,2421,2316
640,5155,2545,2300
650,5205,2502,2293
660,5140,2648,2212
670,5233,2470,2297
680,6705,1938,1357
690,5194,2585,2221
700,5255,2683,2062
710,5195,2832,1973
720,5235,2817,1948
730,5253,2780,1967
740,5211,2762,2027
750,5521,2902,1577
760,5552,2892,1556
770,5450,2987,1563
780,5571,2898,1531
790,5618,2832,1550
800,5640,2723,1637
810,5606,2873,1521
820,5652,2840,1508
830,5641,2806,1553
840,5627,2844,1529
850,5542,2921,1537
860,5592,2868,1540
870,5535,2908,1557
880,5231,2960,1809
890,5267,2830,1903
900,5204,2795,2001
910,5346,2659,1995
920,5278,2683,2039
930,5353,2655,1992
940,5345,2601,2054
950,5531,2615,1854
960,5500,2642,1858
970,5442,2712,1846
980,5497,2670,1833
990,5334,2653,2013
1000,5283,2603,2114
1010,5295,2582,2123
1020,5263,2613,2124
1030,5246,2689,2065
1040,5255,2639,2106
1050,5782,2681,1537
1060,5793,2674,1533
1070,5768,2732,1500
1080,5774,2649,1577
1090,5800,2714,1486
1100,5772,2748,1480
1110,5694,2709,1597
1120,5330,2775,1895
1130,5366,2756,1878
1140,5350,2811,1839
1150,5276,2790,1934
1160,5275,2826,1899
1170,5158,3010,1832
1180,5202,3014,1784
1190,5213,3307,1480
1200,5177,3348,1475
1210,6420,2663,917
1220,6266,2640,1094
1230,6224,2516,1260
1240,6183,2467,1350
1250,6159,2604,1237
1260,7207,1681,1112
1270,7176,1687,1137
1280,7125,1664,1211
1290,7098,1719,1183
1300,7048,1673,1279
1310,6943,1770,1287
1320,5550,2843,1607
1330,5582,2861,1557
1340,5589,2870,1541
1350,5591,2845,1564
1360,5553,2885,1562
1370,5599,2859,1542
1380,6830,1912,1258
1390,6774,1986,1240
1400,6814,1919,1267
1410,6650,2057,1293
1420,6584,2054,1362
1430,6549,2084,1367
1440,6611,2089,1300
1450,6441,2151,1408
1460,6547,2081,1372
1470,6612,2000,1388
1480,6526,2109,1365
1490,6607,2036,1357
1500,6534,2066,1400
1510,6475,2073,1452
1520,6551,2146,1303
1530,6623,2035,1342
1540,6639,2069,1292
1550,6580,2059,1361
1560,6620,2100,1280
1570,6748,2050,1202
1580,6679,2071,1250
1590,5438,3005,1557
1600,5798,2756,1446
1610,5742,2836,1422
1620,5952,2701,1347
1630,6219,2639,1142
1640,6126,2643,1231
1650,6523,2272,1205
1660,6528,2245,1227
1670,6596,2294,1110
1680,6563,2267,1170
1690,6581,2271,1148
1700,6481,2360,1159
1710,6526,2346,1128
1720,6675,2412,913
1730,6634,2438,928
1740,6474,2577,949
1750,6725,2471,804
1760,6487,2578,935
1770,6733,2423,844
1780,6609,2515,876
1790,6500,2614,886
1800,6572,2536,892
1810,6407,2525,1068
1820,6513,2492,995
1830,6553,2571,876
1840,6356,2663,981
1850,6420,2676,904
1860,6341,2710,949
1870,6300,2657,1043
1880,6313,2669,1018
1890,6424,2565,1011
1900,6288,2650,1062
1910,6177,2675,1148
1920,6336,2565,1099
1930,6299,2558,1143
1940,6360,2500,1140
1950,6251,2517,1232
1960,6289,2519,1192
1970,6277,2442,1281
1980,6338,2473,1189
1990,6402,2350,1248
2000,6338,2422,1240
2010,6330,2368,1302
2020,6124,2780,1096
2030,6270,2700,1030
2040,6248,2730,1022
2050,6370,2681,949
2060,6238,2833,929
2070,6235,2897,868
2080,5815,3100,1085
2090,6053,3169,778
2100,5207,3161,1632
2110,5273,3123,1604
2120,6023,3169,808
2130,6027,3160,813
2140,5978,3207,815
2150,5982,3196,822
2160,6057,3101,842
2170,6039,3146,815
2180,5916,3192,892
2190,6755,2390,855
2200,6937,2018,1045
2210,6881,1967,1152
2220,6880,1951,1169
2230,6912,1957,1131
2240,6827,2047,1126
2250,6621,2143,1236
2260,6038,2669,1293
2270,6024,2688,1288
2280,6116,2606,1278
2290,6204,2679,1117
2300,6313,2611,1076
2310,6950,2026,1024
2320,5716,3043,1241
2330,4835,3709,1456
2340,4755,3775,1470
2350,4913,3678,1409
2360,5006,3712,1282
2370,4920,3736,1344
2380,5005,3642,1353
2390,4788,3797,1415
2400,4910,3604,1486
2410,5082,3809,1109
2420,5873,3131,996
2430,5872,2972,1156
2440,5963,2812,1225
2450,5970,2754,1276
2460,6081,2782,1137
2470,6118,2707,1175
2480,6150,2728,1122
2490,6561,2246,1193
2500,6636,1934,1430
2510,6173,2515,1312
2520,6122,2567,1311
2530,6198,2574,1228
2540,6227,2507,1266
2550,6420,2321,1259
2560,7078,1685,1237
2570,6744,1839,1417
2580,6831,1873,1296
2590,5619,2997,1384
2600,6353,2689,958
2610,5492,3241,1267
2620,6080,3068,852
2630,6026,3048,926
2640,6057,3011,932
2650,6430,2694,876
2660,6443,2776,781
2670,6428,2846,726
2680,7383,1963,654
2690,6831,1952,1217
2700,6933,1844,1223
2710,6860,1970,1170
2720,6928,1893,1179
2730,5220,3502,1278
2740,5167,3623,1210
2750,6869,1852,1279
2760,6741,1981,1278
2770,7130,1695,1175
2780,6751,2016,1233
2790,6740,2106,1154
2800,6145,2843,1012
2810,6576,2012,1412
2820,5957,2873,1170
2830,6308,2476,1216
2840,6049,2833,1118
2850,6154,2357,1489
2860,6480,1975,1545
2870,6646,2051,1303
2880,6007,2995,998
2890,6752,2076,1172
2900,6715,2076,1209
2910,7079,1746,1175
2920,5375,2892,1733
2930,5462,2860,1678
2940,6565,2147,1288
2950,6730,2009,1261
2960,6992,1732,1276
2970,6031,2852,1117
2980,5985,3039,976
2990,6018,3058,924
3000,5874,2468,1658
3010,5593,3064,1343
3020,5291,2996,1713
3030,6625,2047,1328
3040,5985,2851,1164
3050,6692,2049,1259
3060,6709,2090,1201
3070,6800,1951,1249
3080,6432,2074,1494
3090,6194,2943,863
3100,6244,2667,1089
3110,6430,2826,744
3120,6960,1914,1126
3130,6352,2896,752
3140,6446,2788,766
3150,6365,2877,758
3160,6421,2822,757
3170,6441,2612,947
3180,6241,2695,1064
3190,6296,2697,1007
3200,5503,2714,1783
3210,5104,3131,1765
3220,6524,2186,1290
3230,6580,2159,1261
3240,6308,2352,1340
3250,5952,2736,1312
3260,5999,2872,1129
3270,5999,2603,1398
3280,5384,2820,1796
3290,5544,2768,1688
3300,5431,2825,1744
3310,6256,2206,1538
3320,6903,1925,1172
3330,6217,2507,1276
3340,4837,3836,1327
3350,4891,3702,1407
3360,5099,3066,1835
3370,5990,2600,1410
3380,5958,2577,1465
3390,5982,2666,1352
3400,5374,2744,1882
3410,6230,2970,800
3420,6146,2345,1509
3430,6149,2301,1550
3440,6026,2499,1475
3450,6450,2637,913
3460,5694,2899,1407
3470,5143,3072,1785
3480,6057,2953,990
3490,4931,3387,1682
3500,5094,3468,1438
3510,5225,3182,1593
3520,6729,1960,1311
3530,5750,2419,1831
3540,6274,2776,950
3550,5279,2865,1856
3560,5108,2894,1998
3570,5127,3147,1726
3580,5175,2990,1835
3590,5516,2808,1676
3600,5632,3033,1335
3610,6044,2998,958
3620,5994,2868,1138
3630,6049,2777,1174
3640,6051,3081,868
3650,6824,1917,1259
3660,4913,3275,1812
3670,5223,3152,1625
3680,6760,2075,1165
3690,4916,3434,1650
3700,4942,3166,1892
3710,5256,3205,1539
3720,4751,3551,1698
3730,5647,2706,1647
3740,5927,2394,1679
3750,4910,3692,1398
3760,4927,2925,2148
3770,5711,2631,1658
3780,6124,2801,1075
3790,5417,3279,1304
3800,5491,2627,1882
3810,4822,3592,1586
3820,6048,2806,1146
3830,6091,2844,1065
3840,5990,2769,1241
3850,5791,2284,1925
3860,5521,2765,1714
3870,5511,2806,1683
3880,6491,2771,738
3890,6327,2218,1455
3900,6094,2444,1462
3910,6419,2608,973
3920,5960,2978,1062
3930,6480,2375,1145
3940,6171,2706,1123
3950,6220,2719,1061
3960,6336,2629,1035
3970,6435,2805,760
3980,6308,2724,968
3990,4861,3326,1813
4000,6174,2133,1693
4010,6156,2773,1071
4020,6343,2225,1432
4030,6325,2303,1372
4040,5645,2987,1368
4050,5331,3354,1315
4060,5866,3063,1071
4070,5874,2988,1138
4080,6330,2292,1378
4090,6048,2651,1301
4100,6389,2261,1350
4110,6351,2249,1400
4120,6030,2515,1455
4130,6144,2042,1814
4140,6306,2023,1671
4150,5458,2854,1688
4160,6174,2200,1626
4170,5326,2828,1846
4180,5398,2799,1803
4190,6110,2366,1524
4200,5788,2178,2034
4210,5910,2845,1245
4220,5284,3424,1292
4230,5105,2947,1948
4240,6275,2282,1443
4250,6867,1865,1268
4260,5624,2708,1668
4270,5158,3069,1773
4280,6847,1972,1181
4290,5473,3201,1326
4300,6495,2151,1354
4310,6855,1900,1245
4320,5310,3382,1308
4330,5929,2685,1386
4340,6152,2745,1103
4350,6451,2201,1348
4360,5998,2645,1357
4370,5191,3588,1221
4380,6197,2099,1704
4390,5714,3096,1190
4400,4836,3741,1423
4410,4826,3588,1586
4420,4747,3690,1563
4430,5834,2305,1861
4440,6368,2184,1448
4450,6271,2361,1368
4460,6129,2482,1389
4470,6432,2265,1303
4480,6403,2097,1500
4490,5909,2264,1827
4500,5822,2191,1987
4510,5307,3088,1605
4520,4936,3317,1747
4530,5613,2988,1399
4540,4869,3718,1413
4550,4813,3757,1430
4560,5370,2845,1785
4570,5496,2847,1657
4580,5562,2733,1705
4590,5404,2893,1703
4600,6999,2044,957
4610,5840,3088,1072
4620,6857,1978,1165
4630,6248,2630,1122
4640,6009,2603,1388
4650,6122,2534,1344
4660,5431,3267,1302
4670,6239,2501,1260
4680,6850,2008,1142
4690,6667,1984,1349
4700,6139,2568,1293
4710,6317,2544,1139
4720,4994,3672,1334
4730,5072,3425,1503
4740,4627,3456,1917
4750,4876,3723,1401
4760,4917,3742,1341
4770,4817,3828,1355
4780,4856,3725,1419
4790,4647,3631,1722
4800,4597,3694,1709
4810,5014,3325,1661
4820,6051,2782,1167
4830,4696,3426,1878
4840,5519,2550,1931
4850,6594,2137,1269
4860,7456,1421,1123
