episode_number,agent_wins,random_wins,draws
10,6905,1964,1131
20,6813,1989,1198
30,6958,1853,1189
40,7033,1830,1137
50,7040,1753,1207
60,6950,1847,1203
70,7244,1631,1125
80,7145,1695,1160
90,6995,1900,1105
100,7119,1794,1087
110,6957,1865,1178
120,6998,1933,1069
130,6951,1927,1122
140,6786,2031,1183
150,6832,2069,1099
160,6763,2201,1036
170,7005,2075,920
180,6970,2177,853
190,7037,2076,887
200,7158,1987,855
210,7163,2013,824
220,6945,2132,923
230,6629,2486,885
240,6716,2471,813
250,6918,1925,1157
260,6742,1900,1358
270,6723,1915,1362
280,6653,1985,1362
290,6626,1949,1425
300,6531,1854,1615
310,6619,1845,1536
320,6805,1852,1343
330,6750,1880,1370
340,6756,1831,1413
350,6756,1861,1383
360,6845,1815,1340
370,6731,1951,1318
380,6793,1880,1327
390,6758,1937,1305
400,6755,1922,1323
410,6776,1899,1325
420,6763,1824,1413
430,6767,1925,1308
440,6438,2515,1047
450,6406,2535,1059
460,6302,2646,1052
470,6390,2597,1013
480,6438,2494,1068
490,6295,2622,1083
500,6420,2536,1044
510,6303,2627,1070
520,6360,2611,1029
530,6312,2623,1065
540,6283,2634,1083
550,6245,2715,1040
560,6369,2627,1004
570,6591,2307,1102
580,6580,2356,1064
590,6500,2374,1126
600,6647,2280,1073
610,6486,2344,1170
620,6578,2312,1110
630,6569,2301,1130
640,6578,2317,1105
650,6601,2308,1091
660,6597,2283,1120
670,6633,2288,1079
680,6612,2351,1037
690,6702,2266,1032
700,6607,2317,1076
710,6566,2372,1062
720,6603,2295,1102
730,6547,2334,1119
740,6624,2360,1016
750,6612,2301,1087
760,6599,2320,1081
770,6553,2390,1057
780,6515,2380,1105
790,6535,2360,1105
800,6489,2405,1106
810,6521,2368,1111
820,6501,2371,1128
830,6538,2279,1183
840,6317,2354,1329
850,6444,2275,1281
860,6424,2260,1316
870,6375,2299,1326
880,6463,2287,1250
890,6514,2293,1193
900,6468,2287,1245
910,6449,2259,1292
920,6451,2277,1272
930,6314,2387,1299
940,6474,2257,1269
950,6491,2241,1268
960,6479,2273,1248
970,6469,2262,1269
980,6018,2994,988
990,5923,3138,939
1000,6094,2956,950
1010,6076,2976,948
1020,6022,3006,972
1030,6153,2892,955
1040,6085,2976,939
1050,6094,2946,960
1060,5980,3032,988
1070,6085,2937,978
1080,6079,2963,958
1090,6045,3029,926
1100,6191,2904,905
1110,6021,2975,1004
1120,6057,2962,981
1130,6054,2938,1008
1140,6093,2924,983
1150,6104,2908,988
1160,6071,2994,935
1170,6001,2987,1012
1180,6063,2996,941
1190,6103,2972,925
1200,6132,2969,899
1210,6137,2896,967
1220,6087,2951,962
1230,6117,2942,941
1240,6156,2879,965
1250,6160,2855,985
1260,6022,2955,1023
1270,5993,3060,947
1280,6119,2878,1003
1290,6017,2947,1036
1300,6005,2954,1041
1310,6088,2922,990
1320,6141,2813,1046
1330,6081,2878,1041
1340,6225,2773,1002
1350,6215,2757,1028
1360,6338,2679,983
1370,6558,2068,1374
1380,6505,1989,1506
1390,6432,2080,1488
1400,6504,2057,1439
1410,6533,2002,1465
1420,6540,2012,1448
1430,6473,1991,1536
1440,6515,1999,1486
1450,6245,2172,1583
1460,6351,2116,1533
1470,6354,2112,1534
1480,6307,2155,1538
1490,6444,2119,1437
1500,6360,2149,1491
1510,6410,2105,1485
1520,6333,2065,1602
1530,6337,2139,1524
1540,6287,2027,1686
1550,6296,2205,1499
1560,6244,2172,1584
1570,6227,2212,1561
1580,6168,2124,1708
1590,6269,2047,1684
1600,6305,2057,1638
1610,6413,1990,1597
1620,6255,2086,1659
1630,6355,2070,1575
1640,6342,1994,1664
1650,6380,2026,1594
1660,6577,1859,1564
1670,6482,1860,1658
1680,6516,1900,1584
1690,6613,1727,1660
1700,6491,1896,1613
1710,6610,1782,1608
1720,6582,1779,1639
1730,6502,1892,1606
1740,6539,1828,1633
1750,6595,1791,1614
1760,6561,1792,1647
1770,6633,1734,1633
1780,6638,1777,1585
1790,6592,1764,1644
1800,6577,1737,1686
1810,6625,1712,1663
1820,6264,2671,1065
1830,6226,2662,1112
1840,6216,2671,1113
1850,6097,2779,1124
1860,6157,2714,1129
1870,6229,2645,1126
1880,6177,2681,1142
1890,6250,2693,1057
1900,6168,2739,1093
1910,6218,2697,1085
1920,6261,2631,1108
1930,6270,2669,1061
1940,6198,2743,1059
1950,6273,2677,1050
1960,6140,2689,1171
1970,6258,2627,1115
1980,6235,2691,1074
1990,6113,2770,1117
2000,6196,2713,1091
2010,6106,2764,1130
2020,6182,2707,1111
2030,6108,2781,1111
2040,6200,2712,1088
2050,6196,2676,1128
2060,6116,2731,1153
2070,6135,2709,1156
2080,6180,2689,1131
2090,5874,2911,1215
2100,6218,2640,1142
2110,6096,2718,1186
2120,6196,2754,1050
2130,5820,2955,1225
2140,5847,2868,1285
2150,5896,2766,1338
2160,5832,2868,1300
2170,5788,2868,1344
2180,5826,2853,1321
2190,5790,2823,1387
2200,5730,2920,1350
2210,5738,3152,1110
2220,5881,3073,1046
2230,6088,2812,1100
2240,5866,3059,1075
2250,6078,2802,1120
2260,6004,2905,1091
2270,6093,2739,1168
2280,5785,3127,1088
2290,5734,3127,1139
2300,5706,3172,1122
2310,5738,3101,1161
2320,5596,3163,1241
2330,5360,3315,1325
2340,5546,3197,1257
2350,5673,3144,1183
2360,5763,3009,1228
2370,5741,3051,1208
2380,5605,3255,1140
2390,5520,3341,1139
2400,5434,3388,1178
2410,5880,2937,1183
2420,5453,3333,1214
2430,5809,2954,1237
2440,5429,3268,1303
2450,5106,3593,1301
2460,5152,3664,1184
2470,5145,3626,1229
2480,4985,3746,1269
2490,5321,3454,1225
2500,5311,3518,1171
2510,5009,3745,1246
2520,4865,3895,1240
2530,4992,4001,1007
2540,4954,4039,1007
2550,4718,4327,955
2560,4636,4405,959
2570,4941,4089,970
2580,4919,4098,983
2590,5059,4031,910
2600,4988,4075,937
2610,5084,4037,879
2620,5041,4089,870
2630,5021,3927,1052
2640,4981,3960,1059
2650,5005,3963,1032
2660,4957,3977,1066
2670,5057,3929,1014
2680,5000,4016,984
2690,5866,3062,1072
2700,5746,3134,1120
2710,5712,3269,1019
2720,5862,3103,1035
2730,5786,3195,1019
2740,5862,3123,1015
2750,5842,3115,1043
2760,5824,3200,976
2770,5821,3129,1050
2780,5775,3136,1089
2790,5749,3199,1052
2800,5779,3166,1055
2810,5764,3127,1109
2820,5765,3151,1084
2830,5753,3135,1112
2840,5719,3053,1228
2850,5569,3001,1430
2860,5521,2981,1498
2870,5398,3056,1546
2880,5397,2968,1635
2890,5446,2894,1660
2900,5498,2803,1699
2910,5431,2972,1597
2920,5537,2887,1576
2930,5548,2832,1620
2940,5423,2931,1646
2950,5411,2915,1674
2960,5310,2808,1882
2970,5306,2853,1841
2980,5258,2672,2070
2990,5243,2672,2085
3000,5161,2829,2010
3010,5058,2935,2007
3020,5038,2787,2175
3030,4900,2965,2135
3040,4957,2960,2083
3050,5137,3065,1798
3060,5224,3023,1753
3070,5237,3145,1618
3080,5237,2875,1888
3090,5325,2864,1811
3100,5413,2805,1782
3110,5440,2681,1879
3120,5554,2770,1676
3130,5627,2764,1609
3140,5647,2638,1715
3150,5555,2786,1659
3160,5734,2637,1629
3170,5693,2681,1626
3180,5747,2614,1639
3190,5697,2717,1586
