episode_number,agent_wins,random_wins,draws
10,6014,2711,1275
20,7038,1862,1100
30,6884,1959,1157
40,6860,1974,1166
50,6955,2018,1027
60,6618,2335,1047
70,6573,2332,1095
80,6372,2391,1237
90,6444,2344,1212
100,6658,2134,1208
110,6384,2339,1277
120,6379,2363,1258
130,6739,2103,1158
140,6735,2107,1158
150,6828,2048,1124
160,6801,2089,1110
170,6832,1985,1183
180,6781,1983,1236
190,6893,1920,1187
200,6951,1899,1150
210,7021,1828,1151
220,7026,1830,1144
230,7006,1806,1188
240,7044,1791,1165
250,7030,1812,1158
260,7069,1752,1179
270,7147,1673,1180
280,7104,1745,1151
290,7113,1664,1223
300,7130,1692,1178
310,7093,1748,1159
320,7097,1732,1171
330,7133,1703,1164
340,7092,1744,1164
350,7135,1711,1154
360,7097,1698,1205
370,7171,1657,1172
380,7071,1725,1204
390,7185,1647,1168
400,7284,1516,1200
410,7257,1554,1189
420,7290,1497,1213
430,7111,1625,1264
440,7220,1575,1205
450,7277,1564,1159
460,7240,1603,1157
470,7142,1593,1265
480,7196,1671,1133
490,7165,1707,1128
500,7158,1651,1191
510,6818,1838,1344
520,6878,1842,1280
530,7235,1615,1150
540,6979,1918,1103
550,6840,2023,1137
560,6752,1935,1313
570,6862,2001,1137
580,6884,1932,1184
590,6873,1970,1157
600,6946,1919,1135
610,6965,1834,1201
620,7060,1719,1221
630,7060,1682,1258
640,7203,1690,1107
650,6419,2043,1538
660,6224,2152,1624
670,6277,2602,1121
680,6326,2736,938
690,6015,2978,1007
700,6064,2925,1011
710,5905,3106,989
720,5949,3117,934
730,5928,3144,928
740,5916,3132,952
750,5995,3118,887
760,5846,3208,946
770,5858,3191,951
780,5838,3269,893
790,5895,3182,923
800,6056,2994,950
810,5970,3105,925
820,5951,3065,984
830,6155,2956,889
840,6199,2929,872
850,6158,2951,891
860,6222,2865,913
870,6136,2936,928
880,6128,2941,931
890,6070,2979,951
900,5980,2992,1028
910,5973,2941,1086
920,5979,2951,1070
930,5836,3015,1149
940,5783,3041,1176
950,5910,2924,1166
960,5940,2978,1082
970,5871,2946,1183
980,5887,3012,1101
990,5983,2923,1094
1000,5904,2997,1099
1010,5853,3031,1116
1020,5913,3022,1065
1030,5969,2951,1080
1040,6005,2897,1098
1050,5932,2998,1070
1060,5844,2994,1162
1070,5657,3098,1245
1080,5940,3000,1060
1090,5971,2947,1082
1100,5965,3028,1007
1110,6011,2965,1024
1120,5957,2990,1053
1130,6058,2902,1040
1140,6033,2927,1040
1150,5985,3029,986
1160,5981,3016,1003
1170,6124,2891,985
1180,6292,2773,935
1190,6314,2835,851
1200,6381,2672,947
1210,6422,2696,882
1220,6312,2767,921
1230,6207,2730,1063
1240,6894,1910,1196
1250,6986,1855,1159
1260,6797,1939,1264
1270,7004,1829,1167
1280,6909,1750,1341
1290,7053,1698,1249
1300,6986,1761,1253
1310,6918,1827,1255
1320,6857,1850,1293
1330,7027,1724,1249
1340,6865,1836,1299
1350,6935,1783,1282
1360,6998,1820,1182
1370,6942,1775,1283
1380,6944,1781,1275
1390,7075,1732,1193
1400,7158,1650,1192
1410,7132,1678,1190
1420,7079,1736,1185
1430,7115,1669,1216
1440,7226,1604,1170
1450,7143,1705,1152
1460,7141,1768,1091
1470,7191,1695,1114
1480,7034,1777,1189
1490,7084,1790,1126
1500,7154,1688,1158
1510,7190,1675,1135
1520,7108,1779,1113
1530,7148,1747,1105
1540,7091,1732,1177
1550,6994,1850,1156
1560,7123,1717,1160
1570,7109,1744,1147
1580,7027,1809,1164
1590,7009,1845,1146
1600,7077,1778,1145
1610,6982,1844,1174
1620,6933,1837,1230
1630,6980,1817,1203
