episode_number,agent_wins,random_wins,draws
10,6720,1622,1658
20,6559,1865,1576
30,6510,1830,1660
40,6255,2047,1698
50,6286,2063,1651
60,6297,1974,1729
70,6327,1980,1693
80,6567,1917,1516
90,6700,1820,1480
100,6810,1812,1378
110,6894,1768,1338
120,7047,1602,1351
130,7048,1656,1296
140,6923,1606,1471
150,6909,1649,1442
160,6795,1713,1492
170,6747,1669,1584
180,6701,1728,1571
190,6783,1661,1556
200,6723,1868,1409
210,6785,1767,1448
220,6700,1892,1408
230,6762,1861,1377
240,6841,1824,1335
250,6703,1918,1379
260,6789,1793,1418
270,6713,1841,1446
280,6783,1850,1367
290,6750,1854,1396
300,6603,1964,1433
310,6656,1931,1413
320,6785,1825,1390
330,6817,1778,1405
340,4651,3807,1542
350,4694,3782,1524
360,4642,3788,1570
370,4528,3808,1664
380,4444,3776,1780
390,4407,3702,1891
400,4380,3751,1869
410,4243,3821,1936
420,4499,3599,1902
430,4309,3656,2035
440,4494,3687,1819
450,4646,3690,1664
460,4757,3604,1639
470,6549,2461,990
480,6975,2271,754
490,7018,2312,670
500,6921,2366,713
510,6794,2617,589
520,6716,2637,647
530,6976,2375,649
540,6869,2441,690
550,6849,2464,687
560,6869,2482,649
570,6805,2559,636
580,6475,2676,849
590,6565,2483,952
600,6469,2605,926
610,6611,2520,869
620,6649,2459,892
630,6566,2517,917
640,5391,3334,1275
650,5264,3378,1358
660,5425,3163,1412
670,5604,3050,1346
680,5462,3093,1445
690,5347,3216,1437
700,5298,3287,1415
710,5008,3416,1576
720,5084,3471,1445
730,5123,3461,1416
740,5124,3520,1356
750,5362,3380,1258
760,5476,3374,1150
770,5492,3213,1295
780,5317,3375,1308
790,5425,3159,1416
800,5193,3217,1590
810,5302,3068,1630
820,5220,3135,1645
830,5391,2956,1653
840,5309,3046,1645
850,5200,3094,1706
860,5361,2959,1680
870,5304,3139,1557
880,5348,3214,1438
890,5540,3070,1390
900,5386,3241,1373
910,5335,3260,1405
920,5308,3347,1345
930,5422,3342,1236
940,5141,3500,1359
950,5273,3460,1267
960,5308,3506,1186
970,5253,3531,1216
980,8066,1009,925
990,7859,1093,1048
1000,7814,1114,1072
1010,7785,1141,1074
1020,7472,1437,1091
1030,7769,1115,1116
1040,7410,1453,1137
1050,7464,1377,1159
1060,7556,1333,1111
1070,7506,1340,1154
1080,7628,1354,1018
1090,7725,1275,1000
1100,7919,1165,916
1110,7946,1109,945
1120,7938,1086,976
1130,8025,1139,836
1140,7974,1195,831
1150,7577,1641,782
1160,7875,1667,458
1170,7888,1710,402
1180,7842,1731,427
1190,7747,1822,431
1200,7876,1792,332
1210,7869,1792,339
1220,7898,1769,333
1230,7928,1740,332
1240,7684,1951,365
1250,7667,1448,885
1260,7686,1545,769
1270,7668,1511,821
1280,7599,1523,878
1290,7609,1577,814
1300,7274,1728,998
1310,7147,1896,957
1320,7356,1764,880
1330,7224,1851,925
1340,7280,1811,909
1350,7272,1822,906
1360,7314,1804,882
1370,7269,1786,945
1380,7199,1839,962
1390,7253,1860,887
1400,7296,1804,900
1410,7382,1618,1000
1420,5981,2066,1953
1430,6022,2132,1846
1440,6108,2204,1688
1450,6127,2138,1735
1460,6239,2210,1551
1470,6141,2184,1675
1480,6133,2258,1609
1490,6270,2138,1592
1500,6266,2144,1590
1510,6259,2322,1419
1520,6334,2432,1234
1530,6323,2382,1295
1540,6380,2448,1172
1550,7253,2314,433
1560,7209,2321,470
1570,7327,2261,412
1580,7260,2306,434
1590,7259,2331,410
1600,7301,2296,403
1610,7296,2288,416
1620,7438,2124,438
1630,7391,2183,426
1640,7434,2121,445
1650,7500,2114,386
1660,7456,2129,415
1670,7430,2133,437
1680,7493,1654,853
1690,7590,1532,878
1700,7540,1479,981
1710,8022,1092,886
1720,7868,1219,913
1730,7922,1166,912
1740,8039,1064,897
1750,7906,1146,948
1760,8085,1073,842
1770,7973,1109,918
1780,8071,1056,873
1790,8058,1026,916
1800,8059,1062,879
1810,8080,1025,895
1820,7954,1096,950
1830,8050,1024,926
1840,8005,1047,948
1850,7997,1005,998
1860,7885,1140,975
1870,7850,1169,981
1880,7887,1120,993
1890,8009,1035,956
1900,8012,1083,905
1910,8170,1048,782
1920,7964,1068,968
1930,7876,1101,1023
1940,8043,1021,936
1950,7758,1302,940
1960,7645,1431,924
1970,7583,1490,927
1980,7525,1514,961
1990,7677,1447,876
2000,7576,1511,913
2010,7728,1392,880
2020,7705,1437,858
2030,6562,2469,969
2040,6574,2469,957
2050,6466,2562,972
2060,6571,2441,988
2070,6451,2641,908
2080,6545,2519,936
2090,6462,2571,967
2100,6942,2206,852
2110,6905,2315,780
2120,6899,2232,869
2130,6933,2264,803
2140,6988,2243,769
2150,6976,2231,793
2160,7024,2214,762
2170,6997,2139,864
2180,7111,2073,816
2190,6996,2199,805
2200,6974,2155,871
2210,6931,2253,816
2220,7024,2148,828
2230,6896,2329,775
2240,7569,2093,338
2250,7266,2362,372
2260,7501,2131,368
2270,7519,2084,397
2280,7417,2188,395
2290,7512,2120,368
2300,7494,2180,326
2310,7810,1955,235
2320,8863,675,462
2330,8828,672,500
2340,8899,646,455
2350,8853,648,499
2360,8864,671,465
2370,8776,672,552
2380,8942,649,409
2390,8877,675,448
2400,8930,650,420
2410,8865,669,466
2420,8874,654,472
2430,8807,694,499
2440,8902,631,467
2450,8956,592,452
2460,8945,594,461
2470,8993,594,413
2480,9000,588,412
2490,9051,592,357
2500,9031,590,379
2510,9040,555,405
2520,9145,505,350
2530,8968,606,426
2540,9032,547,421
2550,9052,573,375
2560,9153,503,344
2570,9028,573,399
2580,9160,446,394
2590,9196,485,319
2600,9237,496,267
2610,9328,417,255
2620,9246,485,269
2630,9303,485,212
2640,9352,427,221
2650,9357,452,191
2660,9343,468,189
2670,9354,450,196
2680,9351,441,208
2690,9394,417,189
2700,9279,467,254
2710,9324,472,204
2720,9280,462,258
2730,9271,489,240
2740,9366,432,202
2750,9305,479,216
2760,9279,548,173
2770,9372,420,208
2780,9344,473,183
2790,9237,546,217
2800,9311,462,227
2810,9217,577,206
2820,9183,571,246
2830,9170,584,246
2840,9159,584,257
2850,9199,556,245
2860,9180,545,275
2870,9202,539,259
2880,9252,518,230
2890,9259,462,279
2900,9277,458,265
2910,9281,503,216
2920,9185,514,301
2930,9246,497,257
2940,9232,507,261
2950,9229,498,273
2960,9248,488,264
2970,9227,509,264
2980,9225,499,276
