episode_number,agent_wins,random_wins,draws
10,7339,1922,739
20,7203,2070,727
30,7313,1948,739
40,7245,1746,1009
50,7596,1589,815
60,7509,1667,824
70,7617,1466,917
80,7528,1377,1095
90,7519,1348,1133
100,7470,1404,1126
110,7738,1230,1032
120,7658,1271,1071
130,7720,1270,1010
140,7692,1275,1033
150,7737,1274,989
160,7775,1220,1005
170,7469,1517,1014
180,7590,1426,984
190,7710,1411,879
200,7581,1504,915
210,7628,1475,897
220,7473,1614,913
230,7573,1561,866
240,6216,2551,1233
250,6230,2528,1242
260,6079,2641,1280
270,7864,1245,891
280,7254,1871,875
290,7067,2204,729
300,7138,2140,722
310,7160,2172,668
320,7418,1989,593
330,7326,2011,663
340,7242,2032,726
350,7323,1956,721
360,7368,1928,704
370,7417,1932,651
380,7306,2039,655
390,7286,2083,631
400,7445,1972,583
410,6872,1909,1219
420,6927,1810,1263
430,6850,1943,1207
440,6917,1884,1199
450,6883,1906,1211
460,6893,1904,1203
470,6720,2007,1273
480,6775,1995,1230
490,6930,1932,1138
500,6492,2309,1199
510,6435,2256,1309
520,6441,2247,1312
530,6269,2448,1283
540,6227,2363,1410
550,5772,2886,1342
560,5882,2851,1267
570,5809,2955,1236
580,6045,3291,664
590,6051,3240,709
600,6220,2930,850
610,6090,3046,864
620,6053,2916,1031
630,6191,2786,1023
640,6235,2672,1093
650,6193,2727,1080
660,6085,2756,1159
670,6180,2673,1147
680,6366,2423,1211
690,6314,2297,1389
700,6303,2227,1470
710,6306,2185,1509
720,6424,2108,1468
730,6386,2143,1471
740,6334,2171,1495
750,6525,2210,1265
760,6219,2399,1382
770,6001,2466,1533
780,5572,2823,1605
790,5322,3187,1491
800,5842,2664,1494
810,5728,3028,1244
820,5317,3630,1053
830,5281,3344,1375
840,5689,2626,1685
850,6209,2704,1087
860,5973,3025,1002
870,5530,2854,1616
880,5535,2910,1555
890,5683,2964,1353
900,5530,2886,1584
910,5501,2827,1672
920,5857,2802,1341
930,5919,2584,1497
940,5917,2716,1367
950,5390,2874,1736
960,5253,3446,1301
970,5754,3386,860
980,5354,3366,1280
990,4837,3878,1285
1000,5361,2818,1821
1010,6232,3038,730
1020,5707,3065,1228
1030,5692,3178,1130
1040,5454,3477,1069
1050,5966,3076,958
1060,6301,2670,1029
1070,6081,2403,1516
1080,5868,3292,840
1090,7065,1908,1027
1100,6847,1960,1193
1110,7169,1926,905
1120,6883,1947,1170
1130,7142,1851,1007
1140,6899,1943,1158
1150,7189,1823,988
1160,7176,1855,969
1170,7361,1717,922
1180,7708,1589,703
1190,7268,1776,956
1200,7166,1832,1002
1210,7576,1627,797
1220,7036,1839,1125
1230,7845,1639,516
1240,7020,1884,1096
1250,7633,1608,759
1260,6991,1879,1130
1270,7814,1476,710
1280,7141,1905,954
1290,6344,2921,735
1300,8055,1269,676
1310,7458,1763,779
1320,8048,1277,675
1330,7190,2068,742
1340,7885,1425,690
1350,8015,1281,704
1360,7599,1622,779
1370,6622,2616,762
1380,8081,1205,714
1390,7183,1833,984
