episode_number,agent_wins,random_wins,draws
10,5377,3461,1162
20,6991,1744,1265
30,7165,1738,1097
40,7151,1746,1103
50,7130,1769,1101
60,7043,1786,1171
70,7178,1718,1104
80,7189,1741,1070
90,7130,1688,1182
100,7109,1681,1210
110,7125,1739,1136
120,6930,1923,1147
130,7059,1810,1131
140,6892,1885,1223
150,6862,1918,1220
160,6975,1788,1237
170,6914,1796,1290
180,6916,1824,1260
190,6808,1873,1319
200,6868,1903,1229
210,6915,1823,1262
220,6824,1842,1334
230,6881,1828,1291
240,6728,2010,1262
250,6871,1947,1182
260,7228,1748,1024
270,7227,1804,969
280,7225,1803,972
290,7134,1819,1047
300,7135,1843,1022
310,7122,1873,1005
320,7119,1867,1014
330,7151,1830,1019
340,7118,1898,984
350,7201,1786,1013
360,7180,1811,1009
370,7187,1854,959
380,7262,1780,958
390,7253,1774,973
400,7178,1795,1027
410,7118,1843,1039
420,7155,1798,1047
430,7103,1868,1029
440,7153,1805,1042
450,7168,1767,1065
460,7201,1825,974
470,7275,1783,942
480,7313,1767,920
490,7246,1774,980
500,7288,1787,925
510,7273,1744,983
520,7223,1827,950
530,7242,1800,958
540,7374,1693,933
550,7299,1783,918
560,7216,1838,946
570,7216,1821,963
580,7261,1803,936
590,7141,1876,983
600,7253,1773,974
610,7276,1770,954
620,7369,1741,890
630,7242,1832,926
640,7336,1783,881
650,7238,1822,940
660,7187,1861,952
670,7366,1770,864
680,7208,1803,989
690,7255,1761,984
700,7320,1779,901
710,7329,1798,873
720,7345,1783,872
730,7301,1754,945
740,7315,1830,855
750,7341,1747,912
760,7257,1843,900
770,7425,1693,882
780,7405,1785,810
790,7350,1755,895
800,7326,1795,879
810,7360,1793,847
820,7388,1786,826
830,7471,1710,819
840,7410,1732,858
850,7331,1781,888
860,7423,1733,844
870,7431,1754,815
880,7405,1757,838
890,7446,1743,811
900,7415,1795,790
910,7434,1744,822
920,7486,1717,797
930,7488,1699,813
940,7437,1768,795
950,7442,1733,825
960,7395,1761,844
970,7468,1735,797
980,7349,1854,797
990,7451,1793,756
1000,7456,1710,834
1010,7395,1843,762
1020,7479,1753,768
1030,7385,1785,830
1040,7478,1746,776
1050,7431,1736,833
1060,7491,1724,785
1070,7447,1771,782
1080,7449,1781,770
1090,7516,1722,762
1100,7511,1761,728
1110,7478,1712,810
1120,7568,1665,767
1130,7616,1621,763
1140,7546,1673,781
1150,7629,1614,757
1160,7541,1666,793
1170,7563,1669,768
1180,7601,1617,782
1190,7630,1539,831
1200,7525,1688,787
1210,7636,1625,739
1220,7586,1665,749
1230,7546,1633,821
1240,7606,1704,690
1250,7585,1700,715
1260,7630,1633,737
1270,7519,1756,725
1280,7505,1746,749
1290,7504,1742,754
1300,7470,1786,744
1310,7492,1801,707
1320,7530,1813,657
1330,7492,1814,694
1340,7631,1684,685
1350,7571,1699,730
1360,7610,1691,699
1370,7548,1760,692
1380,7639,1703,658
1390,7651,1643,706
1400,7654,1680,666
1410,7508,1774,718
1420,7648,1674,678
1430,7593,1683,724
1440,7497,1799,704
1450,7629,1632,739
1460,7700,1609,691
1470,7672,1640,688
1480,7554,1716,730
1490,7389,1920,691
1500,7432,1821,747
1510,7458,1847,695
1520,7306,1916,778
1530,7423,1858,719
1540,7375,1914,711
1550,7335,1896,769
1560,7298,1973,729
1570,7384,1880,736
1580,7356,1914,730
1590,7433,1867,700
1600,7375,1904,721
1610,7419,1856,725
1620,7438,1841,721
1630,7457,1860,683
1640,7510,1795,695
1650,7378,1915,707
1660,7437,1827,736
1670,7535,1763,702
1680,7441,1862,697
1690,7416,1909,675
1700,7410,1885,705
1710,7448,1849,703
1720,7413,1883,704
1730,7394,1845,761
1740,7437,1858,705
1750,7432,1841,727
1760,7385,1890,725
1770,7441,1865,694
1780,7321,1924,755
1790,7367,1885,748
1800,7662,1644,694
1810,7588,1703,709
1820,7620,1680,700
1830,7564,1726,710
1840,7639,1720,641
1850,7638,1726,636
1860,7506,1791,703
1870,7573,1757,670
1880,7452,1887,661
1890,7561,1746,693
1900,7621,1725,654
1910,7473,1821,706
1920,7507,1848,645
1930,7344,1926,730
1940,7455,1839,706
1950,7342,1940,718
1960,7305,1980,715
1970,7412,1859,729
1980,7456,1872,672
1990,7383,1912,705
2000,7416,1841,743
2010,7333,1855,812
2020,7366,1852,782
2030,7304,1873,823
2040,7356,1822,822
2050,7303,1874,823
2060,7366,1855,779
2070,7363,1838,799
2080,7340,1857,803
2090,7364,1862,774
2100,7426,1771,803
2110,7379,1865,756
2120,7406,1870,724
2130,7328,1854,818
2140,7342,1869,789
2150,7419,1831,750
2160,7339,1890,771
2170,7242,1932,826
2180,7237,1849,914
2190,7305,1844,851
2200,7211,1880,909
2210,7268,1863,869
2220,7271,1845,884
2230,7099,1967,934
2240,7054,1957,989
2250,6980,2036,984
