episode_number,agent_wins,random_wins,draws
10,6162,2633,1205
20,5716,2536,1748
30,6601,2407,992
40,6558,2369,1073
50,6880,2085,1035
60,6964,1925,1111
70,7122,1815,1063
80,6707,2077,1216
90,6834,2117,1049
100,6988,1885,1127
110,6978,2022,1000
120,6935,1913,1152
130,7017,1925,1058
140,6992,1900,1108
150,7005,1895,1100
160,7194,1852,954
170,7110,1934,956
180,7227,1879,894
190,7221,1784,995
200,7170,1860,970
210,7256,1846,898
220,7369,1767,864
230,7291,1803,906
240,7280,1798,922
250,7296,1720,984
260,7245,1774,981
270,7265,1788,947
280,7228,1785,987
290,7338,1631,1031
300,6367,2505,1128
310,6349,2483,1168
320,6593,2460,947
330,6597,2451,952
340,6421,2498,1081
350,6510,2413,1077
360,6400,2516,1084
370,6338,2560,1102
380,6486,2451,1063
390,6348,2468,1184
400,6630,2514,856
410,7033,1806,1161
420,7104,1753,1143
430,7099,1780,1121
440,7012,1833,1155
450,6866,1942,1192
460,6714,2102,1184
470,6821,2063,1116
480,6674,2106,1220
490,6617,2219,1164
500,6654,2138,1208
510,6686,2115,1199
520,6596,2281,1123
530,6103,2856,1041
540,5869,2904,1227
550,5487,3003,1510
560,5186,3087,1727
570,5227,3144,1629
580,5269,3191,1540
590,5171,3076,1753
600,5179,3085,1736
610,5959,2634,1407
620,5241,3140,1619
630,5111,3403,1486
640,5221,3137,1642
650,4887,3576,1537
660,4763,3829,1408
670,4870,3824,1306
680,5256,3456,1288
690,5124,3504,1372
700,5314,3441,1245
710,4965,3604,1431
720,5133,3521,1346
730,4742,3875,1383
740,4916,3604,1480
750,5040,3456,1504
760,5161,3394,1445
770,5082,3370,1548
780,5080,3403,1517
790,5185,3380,1435
800,4819,3635,1546
810,5011,3468,1521
820,4879,3402,1719
830,4830,3412,1758
840,5238,3141,1621
850,5750,3189,1061
860,5800,3099,1101
870,5902,2857,1241
880,5450,3127,1423
890,5028,3548,1424
900,5918,2825,1257
910,4960,3389,1651
920,5147,3309,1544
930,5405,3006,1589
940,5535,3003,1462
950,7096,1905,999
960,5426,2961,1613
970,5239,3558,1203
980,7017,1926,1057
990,7230,1880,890
1000,7158,1937,905
1010,5418,3311,1271
1020,6428,2444,1128
1030,6421,2452,1127
1040,6459,2486,1055
1050,7041,1944,1015
1060,7161,1826,1013
1070,7173,1903,924
1080,5267,3495,1238
1090,7617,1561,822
