episode_number,agent_wins,random_wins,draws
10,6349,2639,1012
20,4692,3981,1327
30,4621,4475,904
40,6471,2453,1076
50,6123,2929,948
60,4732,3952,1316
70,6593,2256,1151
80,7434,1811,755
90,7758,1343,899
100,8333,1131,536
110,9045,570,385
120,9021,572,407
130,8841,530,629
140,8979,566,455
150,9162,457,381
160,9165,503,332
170,9302,463,235
180,9181,508,311
190,9210,463,327
200,9396,500,104
210,9406,445,149
220,9451,466,83
230,9347,579,74
240,9481,316,203
250,9564,286,150
260,9558,278,164
270,9616,290,94
280,9524,312,164
290,9442,350,208
300,9199,556,245
310,9328,422,250
320,9271,465,264
330,9320,422,258
340,9314,447,239
350,9463,349,188
360,9486,344,170
370,9479,350,171
380,9387,441,172
390,9528,321,151
400,9471,346,183
410,9476,353,171
420,9427,383,190
430,9239,608,153
440,9315,460,225
450,9287,446,267
460,9174,648,178
470,9284,543,173
480,9071,740,189
490,6686,2491,823
500,6362,2778,860
510,6622,2441,937
520,6870,2293,837
530,7466,2003,531
540,7406,2145,449
550,7419,2095,486
560,7913,1658,429
570,7845,1730,425
580,8361,1278,361
590,8425,1265,310
600,8156,1570,274
610,8363,1381,256
620,8442,1348,210
630,8415,1355,230
640,8195,1523,282
650,8548,1230,222
660,8448,1252,300
670,8472,1180,348
680,8435,1214,351
690,8362,1328,310
700,8439,1296,265
710,8540,1177,283
720,8380,1303,317
730,8202,1477,321
740,8303,1407,290
750,8369,1341,290
760,8261,1421,318
770,8222,1481,297
780,8245,1426,329
790,8285,1449,266
800,8309,1382,309
810,8879,783,338
820,8736,656,608
830,8554,896,550
840,8671,922,407
850,8413,1258,329
860,8465,1202,333
870,8472,1217,311
880,8436,1277,287
890,8438,1277,285
900,8522,1173,305
910,8437,1307,256
920,8646,1088,266
930,8738,999,263
940,8478,1298,224
950,8589,1058,353
960,8338,1191,471
970,8586,1098,316
980,8448,1160,392
990,8407,1180,413
1000,8586,1181,233
1010,8448,991,561
1020,8503,1018,479
1030,8539,877,584
1040,8454,1074,472
1050,8726,945,329
1060,8510,944,546
1070,8674,954,372
1080,8625,1067,308
1090,8459,977,564
1100,8537,1228,235
1110,8767,874,359
1120,8489,1076,435
1130,9002,735,263
1140,8973,769,258
1150,8590,1090,320
1160,8491,1084,425
1170,9008,753,239
1180,8542,1167,291
1190,8431,1370,199
1200,8728,1050,222
1210,8654,1159,187
1220,8646,1181,173
1230,8596,1161,243
1240,9093,723,184
1250,9096,788,116
1260,8757,1079,164
1270,8786,1098,116
1280,8818,1083,99
1290,8742,1121,137
1300,8564,1289,147
1310,8818,1091,91
1320,8763,1100,137
1330,8627,1262,111
1340,8408,1402,190
1350,8690,1204,106
1360,8650,1186,164
1370,8950,931,119
1380,8250,1639,111
1390,8620,1195,185
1400,8729,1058,213
1410,8368,1498,134
1420,8495,1245,260
1430,8862,826,312
1440,8824,976,200
1450,8920,894,186
1460,8954,863,183
1470,8955,834,211
1480,8980,842,178
1490,8869,886,245
1500,9039,852,109
1510,9012,764,224
1520,9048,745,207
1530,9005,767,228
1540,8918,880,202
1550,8904,892,204
1560,9051,793,156
1570,9171,691,138
1580,8980,795,225
1590,8947,823,230
1600,8953,832,215
1610,8968,785,247
1620,8963,806,231
1630,8976,798,226
1640,8937,808,255
1650,9045,745,210
1660,8959,763,278
1670,8987,774,239
1680,8983,807,210
1690,9027,808,165
1700,8982,810,208
1710,9014,715,271
1720,8964,783,253
1730,9080,762,158
1740,8966,818,216
1750,8961,835,204
1760,8981,839,180
1770,9074,797,129
1780,9021,776,203
1790,9059,812,129
1800,8913,835,252
1810,9121,767,112
1820,9012,865,123
1830,9047,784,169
1840,8970,867,163
1850,8916,886,198
1860,8859,861,280
1870,9066,708,226
1880,9083,780,137
1890,9128,727,145
1900,9085,788,127
1910,9126,748,126
1920,9142,734,124
1930,9071,797,132
1940,9333,543,124
1950,9129,614,257
1960,9248,616,136
1970,9144,609,247
1980,9091,775,134
1990,9180,685,135
2000,9154,587,259
2010,9101,629,270
2020,9162,537,301
2030,9111,569,320
2040,9118,698,184
2050,9119,616,265
2060,9164,487,349
2070,9157,657,186
2080,9050,764,186
2090,9136,693,171
2100,9000,816,184
2110,9054,775,171
2120,9074,758,168
2130,8952,849,199
2140,9139,671,190
2150,9107,710,183
2160,9293,579,128
2170,9222,588,190
2180,9182,636,182
2190,9059,750,191
2200,9148,640,212
2210,9201,610,189
2220,9179,624,197
2230,8992,810,198
2240,9208,627,165
2250,9005,814,181
2260,9291,573,136
2270,8950,865,185
2280,9310,544,146
2290,9320,544,136
2300,9258,609,133
2310,9151,705,144
2320,9285,588,127
2330,9294,560,146
2340,9367,488,145
2350,9179,683,138
2360,9321,543,136
2370,9164,687,149
2380,9162,694,144
2390,9241,619,140
2400,9218,654,128
2410,9208,651,141
2420,9284,592,124
2430,9267,590,143
2440,9122,735,143
2450,9243,606,151
2460,9116,729,155
2470,9218,651,131
2480,9232,612,156
2490,9255,590,155
2500,9215,638,147
2510,9225,637,138
2520,9248,633,119
2530,9213,673,114
2540,9234,620,146
2550,9251,623,126
2560,9230,631,139
2570,9213,638,149
2580,9217,650,133
2590,9232,622,146
2600,9267,608,125
2610,9257,623,120
2620,9225,622,153
2630,9213,653,134
2640,9229,645,126
2650,9198,645,157
2660,9152,695,153
2670,9302,536,162
2680,9101,676,223
2690,9239,575,186
2700,9201,635,164
2710,9293,594,113
2720,9257,594,149
2730,8932,944,124
2740,9011,711,278
2750,9181,645,174
2760,8987,712,301
2770,8986,655,359
2780,8976,874,150
2790,9019,655,326
2800,8957,907,136
2810,9053,627,320
2820,8956,891,153
2830,8830,1031,139
2840,9117,603,280
2850,9094,629,277
2860,8869,989,142
2870,9269,585,146
2880,8893,966,141
2890,8913,960,127
2900,8862,977,161
2910,8928,936,136
2920,9266,596,138
2930,8975,886,139
2940,8955,929,116
2950,9251,599,150
2960,9313,540,147
2970,8675,988,337
2980,9336,534,130
2990,9298,533,169
3000,9237,602,161
3010,9294,559,147
3020,9229,602,169
3030,9343,500,157
3040,9331,516,153
3050,9279,565,156
3060,9292,540,168
3070,9421,441,138
3080,9382,465,153
3090,9386,445,169
3100,9390,472,138
3110,9304,547,149
3120,9297,530,173
3130,9285,553,162
3140,9137,709,154
3150,8954,860,186
3160,9065,779,156
3170,9103,768,129
3180,8852,1013,135
3190,9024,818,158
3200,9058,790,152
3210,9017,839,144
3220,9072,776,152
3230,8727,1098,175
3240,9153,649,198
3250,8971,875,154
3260,9207,648,145
3270,9316,547,137
3280,9084,767,149
3290,9124,666,210
3300,9135,642,223
3310,9298,557,145
3320,9284,574,142
3330,9126,685,189
3340,8898,927,175
3350,8840,954,206
3360,8795,1017,188
3370,8638,1217,145
3380,9125,688,187
3390,8883,918,199
3400,8950,877,173
3410,8946,908,146
3420,8958,877,165
3430,8665,1146,189
3440,8937,877,186
3450,8763,1077,160
3460,8721,1126,153
3470,8937,929,134
3480,8750,1098,152
3490,8540,1232,228
3500,8652,1131,217
3510,8757,1019,224
3520,8867,979,154
3530,9233,691,76
3540,9335,563,102
3550,8939,904,157
3560,9123,724,153
3570,8724,1092,184
3580,9100,805,95
3590,9170,713,117
3600,8989,811,200
3610,8960,939,101
3620,9362,525,113
3630,9263,612,125
3640,9176,714,110
3650,9110,802,88
3660,9140,714,146
3670,9361,521,118
3680,9299,552,149
3690,9318,524,158
3700,9346,505,149
3710,9499,362,139
3720,9324,517,159
3730,9316,545,139
3740,9296,518,186
3750,9069,753,178
3760,9041,717,242
3770,9274,566,160
3780,9258,584,158
3790,9127,704,169
3800,9263,564,173
3810,9044,725,231
3820,9005,807,188
3830,9175,634,191
3840,8979,824,197
3850,8881,949,170
3860,9289,547,164
3870,9097,716,187
3880,8853,946,201
3890,8941,843,216
3900,9255,552,193
3910,9090,739,171
3920,9293,523,184
3930,9113,723,164
3940,9349,511,140
3950,9271,519,210
3960,9256,501,243
3970,9220,561,219
3980,9263,564,173
3990,9329,479,192
4000,9036,755,209
4010,9075,622,303
4020,9139,656,205
4030,9262,529,209
4040,8931,857,212
4050,8919,907,174
4060,8749,1037,214
4070,9092,702,206
4080,8862,872,266
4090,9027,708,265
4100,8567,1110,323
4110,9298,492,210
4120,9248,576,176
4130,8932,865,203
4140,9109,708,183
4150,8929,853,218
4160,9019,717,264
4170,8851,913,236
4180,8325,1244,431
4190,8726,1047,227
4200,8946,788,266
4210,8655,1056,289
4220,8672,1027,301
4230,8132,1480,388
4240,8776,969,255
4250,8908,823,269
4260,8727,955,318
4270,8739,979,282
4280,8781,934,285
4290,9031,758,211
4300,9040,778,182
4310,8772,1009,219
4320,8745,999,256
4330,9116,716,168
4340,9113,681,206
4350,8943,882,175
4360,8487,1123,390
4370,8833,991,176
4380,9134,661,205
4390,8900,908,192
4400,9239,620,141
4410,9196,648,156
4420,9178,620,202
4430,8852,996,152
4440,8837,955,208
4450,8559,1176,265
4460,8793,1006,201
4470,9124,665,211
4480,9166,663,171
4490,9154,667,179
4500,8859,952,189
4510,9106,639,255
4520,8839,1015,146
4530,8818,965,217
4540,8888,946,166
4550,9027,791,182
4560,9141,662,197
4570,8858,957,185
4580,9116,678,206
4590,9090,717,193
4600,9144,674,182
4610,9198,606,196
4620,9213,588,199
4630,9120,697,183
4640,9006,813,181
4650,9038,781,181
4660,9201,641,158
4670,9166,629,205
4680,9124,674,202
4690,9115,709,176
4700,9190,634,176
4710,9113,723,164
4720,9160,657,183
4730,9151,661,188
4740,9219,625,156
4750,9185,649,166
4760,9202,626,172
4770,9117,711,172
4780,9100,727,173
4790,9112,727,161
4800,9242,581,177
4810,9252,609,139
4820,9234,598,168
4830,7887,1332,781
4840,9134,663,203
4850,8122,1106,772
4860,8503,939,558
4870,7782,1326,892
4880,9162,663,175
4890,9131,668,201
4900,8064,1119,817
4910,9268,588,144
4920,9251,578,171
4930,8237,1112,651
4940,8359,1116,525
4950,9190,653,157
4960,9182,644,174
4970,9119,684,197
4980,8566,912,522
4990,9250,657,93
5000,8267,1132,601
5010,9123,711,166
5020,9308,632,60
5030,9451,491,58
5040,9425,525,50
5050,9062,793,145
5060,9240,636,124
5070,9125,667,208
5080,9136,671,193
5090,9184,661,155
5100,9101,724,175
5110,9098,716,186
5120,9081,655,264
5130,9066,733,201
5140,9185,626,189
5150,9053,578,369
5160,8345,986,669
5170,9231,583,186
5180,8505,802,693
5190,8389,902,709
5200,9081,650,269
5210,9150,720,130
5220,9298,671,31
5230,8277,1083,640
5240,8261,1123,616
5250,8233,1061,706
5260,8344,998,658
5270,8298,1054,648
