episode_number,agent_wins,random_wins,draws
10,5647,3008,1345
20,5697,2906,1397
30,5263,3290,1447
40,6448,2421,1131
50,5219,3314,1467
60,5175,3330,1495
70,6518,2306,1176
80,6509,2348,1143
90,6604,2217,1179
100,6582,2262,1156
110,6614,2277,1109
120,6447,2416,1137
130,6486,2325,1189
140,6456,2342,1202
150,6484,2339,1177
160,6548,2271,1181
170,6500,2300,1200
180,6518,2352,1130
190,6496,2329,1175
200,6505,2355,1140
210,6511,2348,1141
220,6297,2533,1170
230,6252,2586,1162
240,6205,2556,1239
250,6193,2528,1279
260,6433,2283,1284
270,6461,2312,1227
280,6380,2369,1251
290,6309,2425,1266
300,6412,2340,1248
310,6311,2402,1287
320,6218,2410,1372
330,6180,2528,1292
340,6161,2436,1403
350,6188,2443,1369
360,6249,2447,1304
370,6339,2627,1034
380,6239,2608,1153
390,6339,2563,1098
400,6326,2550,1124
410,6318,2552,1130
420,5913,2940,1147
430,6024,2885,1091
440,5975,2942,1083
450,5973,2953,1074
460,5851,3009,1140
470,5826,3065,1109
480,5867,3049,1084
490,5989,2965,1046
500,5900,3064,1036
510,5913,3074,1013
520,5934,3040,1026
530,5908,3060,1032
540,5873,3109,1018
550,6032,2919,1049
560,6107,2871,1022
570,6088,2917,995
580,6153,2850,997
590,6408,2753,839
600,6459,2741,800
610,6453,2796,751
620,6395,2749,856
630,6331,2790,879
640,6435,2719,846
650,6375,2804,821
660,6423,2729,848
670,6393,2729,878
680,6453,2746,801
690,6490,2727,783
700,6391,2779,830
710,6402,2772,826
720,6357,2814,829
730,6328,2823,849
740,6327,2817,856
750,6451,2726,823
760,6417,2806,777
770,6492,2736,772
780,6469,2769,762
790,6400,2683,917
800,6366,2641,993
810,6348,2690,962
820,6285,2785,930
830,6379,2702,919
840,6303,2746,951
850,6366,2712,922
860,6307,2756,937
870,6340,2734,926
880,6172,2880,948
890,6219,2811,970
900,6278,2777,945
910,6303,2712,985
920,6319,2694,987
930,6268,2754,978
940,6201,2702,1097
950,6324,2644,1032
960,6212,2695,1093
970,6251,2658,1091
980,5892,3169,939
990,6043,2990,967
1000,5874,3255,871
1010,5830,3251,919
1020,5869,3172,959
1030,6006,3012,982
1040,6019,3015,966
1050,5930,3102,968
1060,5937,3056,1007
1070,5938,3051,1011
1080,5961,3031,1008
1090,5942,3036,1022
1100,5989,2993,1018
1110,6045,2960,995
1120,6088,2914,998
1130,6053,2985,962
1140,6034,2965,1001
1150,5911,3001,1088
1160,5855,3042,1103
1170,5836,3031,1133
1180,5893,3030,1077
1190,5850,3055,1095
1200,6206,2811,983
1210,6077,2910,1013
1220,5755,3022,1223
1230,5732,3108,1160
1240,5738,3047,1215
1250,5620,3237,1143
1260,5719,3131,1150
1270,5800,2984,1216
1280,5742,3062,1196
1290,5736,3110,1154
1300,5721,3085,1194
1310,5656,3197,1147
1320,5707,3103,1190
1330,5736,3055,1209
1340,5799,3034,1167
1350,5723,3077,1200
1360,5808,3064,1128
1370,5638,3139,1223
1380,5698,3184,1118
1390,5635,3217,1148
1400,5650,3155,1195
1410,5935,3016,1049
1420,5909,2959,1132
1430,5922,3043,1035
1440,5973,2996,1031
1450,5900,3035,1065
1460,5824,3128,1048
1470,5922,3008,1070
1480,6224,2746,1030
1490,6245,2795,960
1500,6266,2763,971
1510,6180,2754,1066
1520,6157,2806,1037
1530,6215,2780,1005
1540,6171,2729,1100
1550,6245,2728,1027
1560,6271,2687,1042
1570,5667,3031,1302
1580,5680,3066,1254
1590,5827,3050,1123
1600,5675,3174,1151
1610,5743,3095,1162
1620,5722,3141,1137
1630,6275,2847,878
1640,6438,2741,821
1650,6366,2773,861
1660,6386,2768,846
1670,6333,2844,823
1680,6334,2815,851
1690,6445,2704,851
1700,6360,2773,867
1710,6360,2810,830
1720,6353,2846,801
1730,6457,2723,820
1740,6955,2102,943
1750,6975,2092,933
1760,6943,2021,1036
1770,7093,1965,942
1780,6932,2102,966
1790,6922,2114,964
1800,6887,2089,1024
1810,7197,1964,839
1820,7132,2066,802
1830,7121,2021,858
1840,7195,1944,861
1850,7236,1915,849
1860,7268,1946,786
1870,7193,1965,842
1880,7327,1877,796
1890,7259,1899,842
1900,7235,1949,816
1910,7278,1919,803
1920,7232,1932,836
1930,7199,1944,857
