episode_number,agent_wins,random_wins,draws
10,6228,1984,1788
20,6166,1978,1856
30,6197,1956,1847
40,6206,1948,1846
50,6174,2019,1807
60,6204,2015,1781
70,6297,1883,1820
80,6267,1949,1784
90,6151,2006,1843
100,5902,2170,1928
110,6298,2393,1309
120,6328,2426,1246
130,6597,2425,978
140,6640,2373,987
150,6650,2376,974
160,6653,2394,953
170,6672,2365,963
180,6702,2361,937
190,6629,2400,971
200,6673,2384,943
210,6696,2371,933
220,6676,2364,960
230,6620,2470,910
240,6603,2492,905
250,6654,2463,883
260,6700,2387,913
270,6379,2645,976
280,6424,2598,978
290,6267,2659,1074
300,6307,2694,999
310,6354,2641,1005
320,6345,2665,990
330,6418,2636,946
340,6473,2548,979
350,6253,2724,1023
360,6413,2639,948
370,6361,2612,1027
380,6494,2593,913
390,6445,2591,964
400,6379,2751,870
410,6457,2698,845
420,6398,2774,828
430,6360,2785,855
440,6351,2801,848
450,6373,2797,830
460,6439,2677,884
470,6493,2642,865
480,6341,2708,951
490,6551,2593,856
500,6386,2767,847
510,6480,2686,834
520,6385,2818,797
530,6331,2807,862
540,6313,2835,852
550,6371,2802,827
560,6454,2707,839
570,6338,2830,832
580,6319,2824,857
590,6268,2930,802
600,6226,2893,881
610,6367,2813,820
620,6329,2707,964
630,6370,2751,879
640,6384,2794,822
650,6100,2820,1080
660,6058,2899,1043
670,6029,2885,1086
680,6113,2754,1133
690,6107,2783,1110
700,6106,2779,1115
710,6108,2705,1187
720,6250,2662,1088
730,6144,2731,1125
740,6302,2570,1128
750,6333,2565,1102
760,6340,2524,1136
770,6327,2603,1070
780,6315,2595,1090
790,6246,2635,1119
800,6262,2573,1165
810,6138,2760,1102
820,6229,2626,1145
830,6244,2580,1176
840,6324,2521,1155
850,6350,2481,1169
860,6305,2495,1200
870,6349,2486,1165
880,6348,2395,1257
890,6388,2448,1164
900,6382,2432,1186
910,6373,2433,1194
920,6278,2505,1217
930,6349,2493,1158
940,6421,2428,1151
950,6381,2438,1181
960,6443,2338,1219
970,6321,2482,1197
980,6182,2610,1208
990,6155,2558,1287
1000,6200,2561,1239
1010,6176,2573,1251
1020,6187,2562,1251
1030,6287,2506,1207
1040,6307,2484,1209
1050,6191,2585,1224
1060,6309,2450,1241
1070,6354,2523,1123
1080,6303,2544,1153
1090,6416,2467,1117
1100,6298,2506,1196
1110,6357,2484,1159
1120,6404,2451,1145
1130,6472,2574,954
1140,6552,2500,948
1150,6533,2464,1003
1160,6551,2470,979
1170,6573,2397,1030
1180,6625,2461,914
1190,6659,2449,892
1200,6535,2526,939
