episode_number,agent_wins,random_wins,draws
10,2986,3388,3626
20,3018,2540,4442
30,2942,2687,4371
40,3091,2607,4302
50,3015,2764,4221
60,3200,2590,4210
70,3159,2554,4287
80,3105,2554,4341
90,3130,2581,4289
100,3215,2665,4120
110,3169,2701,4130
120,3207,2687,4106
130,3210,2830,3960
140,3274,2964,3762
150,3353,2945,3702
160,3336,2841,3823
170,3333,2905,3762
180,3375,2789,3836
190,3273,2872,3855
200,3226,2777,3997
210,3183,2815,4002
220,3260,2612,4128
230,3249,2659,4092
240,3149,2657,4194
250,3150,2622,4228
260,3189,2630,4181
270,3103,2728,4169
280,3168,2724,4108
290,3067,2727,4206
300,3089,2683,4228
310,3014,2719,4267
320,2962,2663,4375
330,2960,2680,4360
340,2973,2616,4411
350,2896,2709,4395
360,2963,2768,4269
370,2910,2829,4261
380,2823,2843,4334
390,2938,2668,4394
400,2843,2678,4479
410,2917,2630,4453
420,2815,2677,4508
430,2879,2645,4476
440,2534,2467,4999
450,2475,2430,5095
460,2581,2459,4960
470,2560,2502,4938
480,3302,2232,4466
490,3296,2179,4525
500,3291,2157,4552
510,3204,2254,4542
520,3281,2174,4545
530,3142,2256,4602
540,3342,2347,4311
550,3434,2299,4267
560,3200,2609,4191
570,3697,2289,4014
580,3651,2394,3955
590,3810,2320,3870
600,3743,2400,3857
610,3721,2419,3860
620,3824,2376,3800
630,3710,2449,3841
640,3833,2428,3739
650,3789,2397,3814
660,3755,2368,3877
670,3863,2412,3725
680,3876,2425,3699
690,3929,2295,3776
700,3879,2318,3803
710,3929,2364,3707
720,3874,2414,3712
730,3808,2463,3729
740,3729,2450,3821
750,3790,2466,3744
760,3833,2520,3647
770,3750,2446,3804
780,3815,2504,3681
790,3749,2504,3747
800,3806,2526,3668
810,3804,2482,3714
820,3836,2545,3619
830,3904,2420,3676
840,3866,2476,3658
850,3826,2551,3623
860,3659,2457,3884
870,3680,2459,3861
880,3546,2517,3937
890,2702,2731,4567
900,2632,2944,4424
910,2672,3079,4249
920,2820,2961,4219
930,2705,3073,4222
940,2612,2839,4549
950,3569,2596,3835
960,3677,2530,3793
970,4069,2391,3540
980,4103,2234,3663
990,3910,2092,3998
1000,3377,2378,4245
1010,2818,2341,4841
1020,2733,2145,5122
1030,2731,2950,4319
1040,2610,2895,4495
1050,3369,2437,4194
1060,3280,2392,4328
1070,3329,2256,4415
1080,4207,2258,3535
1090,2821,3021,4158
1100,3294,2508,4198
1110,3711,2289,4000
1120,2910,2643,4447
1130,2904,3027,4069
1140,2920,2889,4191
1150,3415,2506,4079
1160,3545,2581,3874
1170,2949,2888,4163
1180,3341,2539,4120
1190,2750,3186,4064
1200,2987,3085,3928
1210,3103,2742,4155
1220,3733,2879,3388
1230,3872,2127,4001
1240,3247,2959,3794
1250,3631,2775,3594
1260,3309,3085,3606
1270,3085,2882,4033
1280,3137,3280,3583
1290,3314,2872,3814
1300,3393,2436,4171
1310,2948,2785,4267
1320,3371,2444,4185
1330,3476,2483,4041
1340,2924,2548,4528
1350,3431,2369,4200
1360,2928,2967,4105
1370,2950,2652,4398
1380,3419,2699,3882
1390,3568,2324,4108
1400,2926,2736,4338
1410,2974,2618,4408
1420,3263,2656,4081
1430,3062,2460,4478
1440,3343,2228,4429
1450,2905,2918,4177
1460,3437,2412,4151
1470,2889,2625,4486
1480,2741,3054,4205
1490,3422,2395,4183
1500,3422,2685,3893
1510,3374,2598,4028
1520,3241,2589,4170
1530,3554,2413,4033
1540,3388,2515,4097
1550,3204,3170,3626
1560,2921,2807,4272
1570,4185,2151,3664
1580,3060,2866,4074
1590,2885,2851,4264
1600,2832,2843,4325
1610,3360,2434,4206
1620,3376,2360,4264
1630,3515,2511,3974
1640,3341,2444,4215
1650,3369,2473,4158
1660,3301,2509,4190
1670,2601,2695,4704
1680,2973,3084,3943
1690,2933,2522,4545
1700,3602,2534,3864
1710,3454,2755,3791
1720,2898,3030,4072
1730,2629,2831,4540
1740,3357,2482,4161
1750,3796,2435,3769
1760,2842,2375,4783
1770,2937,2906,4157
1780,3372,2897,3731
1790,2730,2026,5244
1800,3078,2015,4907
1810,2908,2923,4169
1820,2587,2623,4790
1830,2923,2730,4347
1840,3304,2900,3796
1850,2640,2379,4981
1860,2760,2759,4481
1870,4155,2454,3391
1880,3281,2180,4539
1890,2523,2751,4726
1900,3004,2837,4159
1910,3188,2582,4230
1920,3823,2160,4017
1930,3434,2339,4227
1940,3006,2979,4015
1950,2766,3165,4069
1960,3458,2408,4134
1970,3203,2183,4614
1980,3611,2559,3830
1990,2962,2880,4158
2000,3737,2771,3492
2010,3383,2479,4138
2020,3463,2454,4083
2030,3202,2418,4380
2040,3166,2677,4157
2050,3631,2666,3703
2060,3314,2562,4124
2070,3402,2755,3843
2080,3933,2547,3520
2090,4251,2082,3667
2100,3433,2448,4119
2110,3144,2877,3979
2120,3107,2534,4359
2130,4019,2532,3449
2140,4517,1910,3573
2150,3230,2177,4593
2160,3274,2439,4287
2170,2799,2437,4764
2180,3172,2771,4057
2190,2973,2870,4157
2200,3013,2298,4689
2210,3740,2431,3829
2220,3039,3185,3776
2230,2402,2759,4839
2240,3694,2420,3886
2250,3421,2159,4420
2260,4117,2325,3558
2270,3023,3251,3726
2280,3986,1926,4088
2290,4233,2256,3511
2300,3522,2497,3981
2310,3182,2627,4191
2320,3533,2675,3792
2330,3300,2507,4193
2340,3589,2377,4034
2350,3230,2819,3951
2360,2999,3197,3804
2370,2525,3205,4270
2380,2997,1833,5170
2390,3585,2397,4018
2400,3372,1901,4727
2410,3535,2620,3845
2420,3868,2459,3673
2430,2527,3127,4346
2440,3261,2395,4344
2450,3619,2532,3849
2460,4120,2515,3365
2470,2961,3280,3759
2480,2699,3338,3963
2490,2583,3148,4269
2500,3877,2831,3292
2510,3478,2412,4110
