episode_number,agent_wins,random_wins,draws
10,5878,3117,1005
20,5875,3168,957
30,6009,3034,957
40,5996,3045,959
50,6119,2905,976
60,6307,2842,851
70,6870,2141,989
80,6725,2142,1133
90,6701,2140,1159
100,6645,2224,1131
110,6715,2327,958
120,6553,2217,1230
130,6444,2279,1277
140,6355,2374,1271
150,6404,2394,1202
160,6333,2482,1185
170,6336,2473,1191
180,6156,2560,1284
190,6164,2508,1328
200,6173,2579,1248
210,5974,2630,1396
220,6002,2675,1323
230,5942,2536,1522
240,5864,2657,1479
250,5820,2685,1495
260,5404,3113,1483
270,5223,3264,1513
280,5308,3196,1496
290,4672,4419,909
300,4864,4156,980
310,4808,4084,1108
320,4898,4039,1063
330,5129,3743,1128
340,5307,3395,1298
350,5293,3327,1380
360,5308,3340,1352
370,5399,3110,1491
380,6258,2596,1146
390,6457,2408,1135
400,6587,2330,1083
410,6631,2478,891
420,6328,2623,1049
430,6890,2152,958
440,6770,2255,975
450,7225,2041,734
460,7008,2212,780
470,6843,2307,850
480,6914,2269,817
490,6589,2345,1066
500,6640,2360,1000
510,6628,2254,1118
520,6743,2139,1118
530,6985,1978,1037
540,7024,1966,1010
550,7175,1863,962
560,7151,1855,994
570,7085,1934,981
580,6771,2157,1072
590,6308,2442,1250
600,5936,2748,1316
610,5734,2823,1443
620,5645,2841,1514
630,5595,2885,1520
640,5655,2857,1488
650,5785,2816,1399
660,5778,2786,1436
670,5719,2799,1482
680,5600,2919,1481
690,5646,3206,1148
700,6138,2813,1049
710,6044,2692,1264
720,6243,2397,1360
730,6523,2249,1228
740,6533,2676,791
750,6335,2854,811
760,6364,2820,816
770,6071,2950,979
780,6076,2712,1212
790,5413,2833,1754
800,5354,3362,1284
810,5383,3350,1267
820,5352,3386,1262
830,6957,1908,1135
840,6943,1947,1110
850,6881,1945,1174
860,6086,2629,1285
870,6981,1913,1106
880,6063,2621,1316
890,5407,3318,1275
900,6062,2638,1300
910,6590,2134,1276
920,5367,3351,1282
930,5433,3324,1243
940,6065,2566,1369
950,5370,3373,1257
960,5299,3444,1257
970,6080,2586,1334
980,5349,3343,1308
990,5310,3390,1300
1000,5348,3375,1277
1010,5962,2715,1323
1020,5359,3369,1272
1030,5295,3280,1425
1040,5601,3283,1116
1050,6109,2572,1319
1060,6091,2618,1291
1070,5928,2732,1340
1080,5320,3347,1333
1090,6091,2586,1323
1100,5186,3083,1731
1110,5909,2668,1423
1120,5400,3286,1314
1130,5304,3385,1311
1140,5929,2743,1328
1150,6064,2675,1261
1160,6247,2544,1209
1170,5307,3349,1344
1180,6067,2645,1288
1190,5362,2788,1850
1200,6009,2689,1302
1210,6008,2674,1318
1220,5968,2660,1372
1230,5370,2902,1728
1240,6109,2549,1342
1250,5283,3427,1290
1260,5280,3387,1333
1270,6618,2131,1251
1280,5916,3177,907
1290,5379,3381,1240
1300,6087,2614,1299
1310,6878,1940,1182
1320,6172,2588,1240
1330,6070,2632,1298
1340,5994,2691,1315
1350,5968,2700,1332
1360,6081,2645,1274
1370,6045,2842,1113
1380,6113,2614,1273
1390,5408,3419,1173
1400,5332,3342,1326
1410,6957,1948,1095
1420,5337,3312,1351
1430,6956,1914,1130
1440,6031,2625,1344
1450,6090,2631,1279
1460,5845,2577,1578
1470,6094,2582,1324
1480,6381,2354,1265
1490,4945,3640,1415
1500,5313,3393,1294
1510,6113,2615,1272
1520,6285,2454,1261
1530,6070,2601,1329
1540,6109,2598,1293
1550,6013,2631,1356
1560,5995,2619,1386
1570,5321,3405,1274
1580,6389,2860,751
1590,6176,2593,1231
1600,5999,2620,1381
1610,6398,2392,1210
1620,6567,2073,1360
1630,6386,2227,1387
1640,6837,1934,1229
1650,6896,1924,1180
1660,6109,2593,1298
1670,6891,1930,1179
1680,6190,2533,1277
1690,6990,1872,1138
1700,5374,3348,1278
1710,5596,3158,1246
1720,4790,3716,1494
1730,5526,2725,1749
1740,6131,2296,1573
1750,6892,1969,1139
1760,6919,1864,1217
1770,6086,2620,1294
1780,5944,2713,1343
1790,5926,2738,1336
1800,5414,2696,1890
1810,5949,2615,1436
1820,6850,2003,1147
1830,6100,2591,1309
1840,5679,2602,1719
1850,6380,2722,898
1860,5335,3507,1158
1870,6378,2368,1254
1880,6016,2691,1293
1890,6878,2452,670
1900,6204,2523,1273
1910,5346,3287,1367
1920,4610,3946,1444
1930,5370,3278,1352
1940,6064,2640,1296
1950,6343,2263,1394
1960,6047,2599,1354
1970,5414,3223,1363
1980,5305,3584,1111
1990,6941,1884,1175
2000,5980,2713,1307
2010,6044,2655,1301
2020,5256,3424,1320
2030,6980,1911,1109
2040,5968,2670,1362
2050,5998,2688,1314
2060,6191,2543,1266
2070,6071,2627,1302
2080,4739,3642,1619
2090,5527,3224,1249
2100,6821,1907,1272
2110,5261,2282,2457
2120,5452,2701,1847
2130,5402,3264,1334
2140,5889,3170,941
2150,6934,1906,1160
2160,5362,3352,1286
2170,5344,3287,1369
2180,6165,2558,1277
2190,5238,3484,1278
2200,5077,3052,1871
2210,5182,2947,1871
2220,6001,2724,1275
2230,6052,2647,1301
2240,6994,1906,1100
2250,5310,3369,1321
2260,5397,3330,1273
2270,6198,2856,946
2280,7012,2328,660
2290,6388,2394,1218
2300,6827,1963,1210
2310,6809,1995,1196
2320,6195,2623,1182
2330,5250,3596,1154
2340,6134,2524,1342
2350,5971,2440,1589
2360,6002,2694,1304
2370,7106,1755,1139
2380,5336,2828,1836
2390,5382,3430,1188
2400,6325,2462,1213
2410,6036,2691,1273
2420,5367,3332,1301
2430,6853,1949,1198
2440,6430,2388,1182
2450,5410,2635,1955
2460,6844,1942,1214
2470,6047,2650,1303
2480,5965,2684,1351
2490,6365,2285,1350
2500,6103,2609,1288
2510,5233,3415,1352
2520,5452,2844,1704
2530,6318,2233,1449
2540,6165,2502,1333
2550,6936,1871,1193
2560,6045,2605,1350
2570,6442,2313,1245
2580,5305,3346,1349
2590,5833,2377,1790
2600,6159,2901,940
2610,6766,1937,1297
2620,6140,2589,1271
2630,5334,3235,1431
2640,5998,2912,1090
2650,6668,2355,977
2660,6582,2397,1021
2670,6021,2659,1320
2680,6262,2563,1175
2690,6160,2610,1230
2700,5030,3504,1466
2710,6082,2667,1251
2720,5769,2479,1752
2730,5349,3248,1403
2740,6286,2453,1261
2750,6388,2365,1247
2760,5929,3100,971
2770,6246,2265,1489
2780,6733,2091,1176
2790,4760,3831,1409
2800,6247,2675,1078
2810,5242,2869,1889
2820,6089,2625,1286
2830,6348,2738,914
2840,6639,2523,838
2850,6215,2647,1138
2860,6093,2641,1266
2870,5348,2970,1682
2880,6117,2569,1314
2890,6050,2689,1261
2900,5270,3386,1344
2910,5287,2940,1773
2920,6001,2738,1261
2930,6323,2078,1599
2940,5971,3104,925
2950,6075,2663,1262
2960,6448,2239,1313
2970,4938,3873,1189
2980,5949,2685,1366
2990,6334,2290,1376
3000,6759,2063,1178
3010,6081,2670,1249
3020,7135,1961,904
3030,6546,2178,1276
3040,6012,2551,1437
3050,6106,2618,1276
3060,6335,2412,1253
3070,5663,2527,1810
3080,7036,1842,1122
3090,6874,1914,1212
3100,6384,2125,1491
3110,5234,2932,1834
3120,5515,2645,1840
3130,6463,2684,853
3140,6616,2475,909
3150,6047,2678,1275
3160,6605,1972,1423
3170,6046,2656,1298
3180,5678,3087,1235
3190,6261,2735,1004
3200,7858,1220,922
3210,6281,2014,1705
3220,6291,2435,1274
3230,6980,1901,1119
3240,5896,2286,1818
3250,6872,1919,1209
3260,6383,2914,703
3270,6030,2679,1291
3280,6174,2534,1292
3290,6240,2739,1021
3300,6653,2140,1207
3310,5547,3187,1266
3320,6470,2775,755
3330,6995,1869,1136
3340,5361,2822,1817
3350,5265,2849,1886
3360,6567,2311,1122
3370,6304,2126,1570
3380,5916,3154,930
3390,6935,2302,763
3400,6266,2834,900
3410,6924,1896,1180
3420,4815,3860,1325
3430,6499,2260,1241
3440,6912,1908,1180
3450,5832,3225,943
3460,5971,3077,952
3470,6112,2624,1264
3480,7003,2112,885
3490,6599,2180,1221
3500,7287,1901,812
3510,6135,2893,972
3520,5363,2869,1768
3530,5994,3237,769
3540,5763,2878,1359
3550,6572,2190,1238
3560,6053,2180,1767
3570,5861,3173,966
3580,6687,2620,693
3590,7564,1789,647
3600,5262,2919,1819
3610,5980,3090,930
3620,6615,2100,1285
3630,5610,2520,1870
3640,6817,2011,1172
3650,5234,3498,1268
3660,6026,3048,926
3670,5988,3058,954
3680,6476,2780,744
3690,6043,2987,970
3700,7647,1444,909
3710,6462,2202,1336
3720,6753,2082,1165
3730,6517,2088,1395
3740,6865,2160,975
3750,6499,2318,1183
3760,6090,2107,1803
3770,5944,3086,970
3780,6411,2191,1398
3790,6740,2311,949
3800,6227,2772,1001
3810,6759,2096,1145
3820,5545,2827,1628
3830,6528,1968,1504
3840,5889,3064,1047
3850,5912,3268,820
3860,5823,3266,911
3870,6291,2922,787
3880,6619,2401,980
3890,5934,3139,927
3900,6280,2807,913
3910,6907,2389,704
3920,5640,3359,1001
3930,5783,3188,1029
3940,6861,2296,843
3950,7305,2103,592
3960,6343,2444,1213
3970,6451,2145,1404
3980,6403,2232,1365
