episode_number,agent_wins,random_wins,draws
10,5740,2969,1291
20,6858,2092,1050
30,5050,3842,1108
40,4993,3928,1079
50,5131,3132,1737
60,5148,3087,1765
70,5148,3041,1811
80,5109,3100,1791
90,6738,2096,1166
100,5177,3040,1783
110,5138,3082,1780
120,6651,2247,1102
130,5131,3093,1776
140,5224,3036,1740
150,5179,3097,1724
160,5131,3082,1787
170,5129,3022,1849
180,5054,3129,1817
190,5083,3151,1766
200,6577,2198,1225
210,6613,2226,1161
220,6568,2277,1155
230,6550,2281,1169
240,6609,2254,1137
250,6586,2220,1194
260,6685,2167,1148
270,6629,2208,1163
280,6607,2250,1143
290,6623,2212,1165
300,6598,2241,1161
310,6599,2206,1195
320,6615,2149,1236
330,6669,2148,1183
340,6594,2215,1191
350,6627,2203,1170
360,6545,2277,1178
370,6638,2153,1209
380,6353,2361,1286
390,6360,2336,1304
400,6372,2353,1275
410,6407,2324,1269
420,6374,2286,1340
430,6495,2103,1402
440,6558,2181,1261
450,6572,2152,1276
460,6602,2092,1306
470,6311,2172,1517
480,6049,2416,1535
490,6262,2181,1557
500,6276,2190,1534
510,6246,2184,1570
520,6283,2145,1572
530,6304,2173,1523
540,6287,2153,1560
550,6274,2147,1579
560,6285,2140,1575
570,6202,2170,1628
580,6236,2196,1568
590,6277,2140,1583
600,6224,2191,1585
610,6316,2140,1544
620,6295,2168,1537
630,6175,2274,1551
640,6352,2054,1594
650,6260,2111,1629
660,6255,2105,1640
670,6282,2101,1617
680,6287,2068,1645
690,6279,2056,1665
700,6228,2167,1605
710,6288,2137,1575
720,6308,2135,1557
730,6278,2141,1581
740,6237,2227,1536
750,6193,2186,1621
760,6200,2176,1624
770,6254,2168,1578
780,6217,2144,1639
790,6252,2142,1606
800,6037,2164,1799
810,6159,2112,1729
820,6130,2109,1761
830,6138,2156,1706
840,6235,2080,1685
850,6235,2113,1652
860,6132,2147,1721
870,6213,2084,1703
880,6204,2107,1689
890,6135,2134,1731
900,6195,2110,1695
910,6265,2028,1707
920,6265,2112,1623
930,6210,2046,1744
940,6180,2092,1728
950,6137,2116,1747
960,6206,2052,1742
970,6159,2070,1771
980,6179,2097,1724
990,6080,2191,1729
1000,6168,2079,1753
1010,6230,2128,1642
1020,6155,2169,1676
1030,6218,2109,1673
1040,6495,2010,1495
1050,6592,2044,1364
1060,6609,1983,1408
1070,6619,1954,1427
1080,6594,1991,1415
1090,6585,1968,1447
1100,6594,2037,1369
1110,6622,1890,1488
