episode_number,agent_wins,random_wins,draws
10,6365,2359,1276
20,5973,2281,1746
30,5405,2804,1791
40,5143,3453,1404
50,5074,3118,1808
60,4870,3345,1785
70,5002,3276,1722
80,5326,3077,1597
90,7093,2207,700
100,7110,2172,718
110,6325,2625,1050
120,6990,2264,746
130,6299,2678,1023
140,7002,2248,750
150,5780,2966,1254
160,6829,2456,715
170,6770,2466,764
180,6525,2288,1187
190,6518,2337,1145
200,6524,2214,1262
210,6536,2281,1183
220,6476,2247,1277
230,7233,1718,1049
240,7116,1777,1107
250,7050,1850,1100
260,7031,1861,1108
270,7088,1791,1121
280,6998,1864,1138
290,6977,1871,1152
300,7037,1820,1143
310,7056,1815,1129
320,6258,2437,1305
330,6286,2491,1223
340,6343,2388,1269
350,6140,2466,1394
360,6151,2474,1375
370,6286,2441,1273
380,6245,2423,1332
390,6218,2490,1292
400,6341,2385,1274
410,6514,2264,1222
420,6563,2209,1228
430,7078,1723,1199
440,6315,2396,1289
450,6212,2517,1271
460,6349,2412,1239
470,6220,2519,1261
480,7045,1831,1124
490,7086,1832,1082
500,7041,1867,1092
510,7083,1805,1112
520,6264,2494,1242
530,6279,2486,1235
540,6287,2454,1259
550,6228,2459,1313
560,6210,2528,1262
570,6249,2523,1228
580,6110,2550,1340
590,6104,2623,1273
600,6196,2545,1259
610,6139,2591,1270
620,6670,2129,1201
630,6431,2404,1165
640,6580,2199,1221
650,6536,2268,1196
660,6585,2200,1215
670,6379,2405,1216
680,6472,2303,1225
690,6116,2579,1305
700,6134,2608,1258
710,6172,2581,1247
720,6162,2568,1270
730,6138,2585,1277
740,6189,2589,1222
750,6167,2608,1225
760,6100,2608,1292
770,6136,2570,1294
780,6155,2598,1247
790,6057,2651,1292
800,6116,2656,1228
810,6138,2568,1294
820,6202,2580,1218
830,6176,2538,1286
840,5501,3227,1272
850,5549,3181,1270
860,5504,3242,1254
870,5464,3210,1326
880,5458,3266,1276
890,5477,3211,1312
900,5427,3270,1303
910,5593,3108,1299
920,5448,3264,1288
930,5388,3312,1300
940,5431,3279,1290
950,5549,3178,1273
960,5530,3185,1285
970,5505,3170,1325
980,5464,3277,1259
990,5545,3190,1265
1000,6038,2657,1305
1010,6134,2618,1248
1020,6110,2609,1281
1030,6108,2613,1279
1040,6050,2675,1275
1050,6132,2614,1254
1060,6045,2695,1260
1070,6137,2571,1292
1080,6099,2645,1256
1090,6165,2558,1277
1100,6973,1841,1186
1110,6125,2627,1248
1120,6138,2592,1270
1130,6154,2618,1228
1140,6105,2661,1234
1150,6172,2525,1303
1160,5386,3293,1321
1170,5401,3356,1243
1180,5430,3261,1309
1190,5389,3367,1244
1200,5454,3293,1253
1210,5422,3303,1275
1220,7011,1872,1117
1230,6991,1877,1132
1240,6177,2549,1274
1250,6120,2617,1263
1260,6057,2656,1287
1270,6161,2599,1240
1280,6161,2561,1278
1290,6032,2595,1373
1300,6079,2619,1302
1310,6066,2633,1301
1320,6045,2681,1274
1330,6066,2611,1323
1340,6059,2625,1316
1350,6060,2650,1290
1360,6084,2624,1292
1370,6054,2627,1319
1380,6143,2565,1292
1390,6899,1962,1139
1400,6943,1928,1129
1410,6866,1940,1194
1420,6914,1886,1200
1430,6971,1898,1131
1440,6890,1955,1155
1450,6923,1954,1123
1460,6922,1901,1177
1470,6375,2423,1202
1480,6304,2444,1252
1490,6273,2471,1256
1500,6252,2411,1337
1510,6237,2535,1228
1520,6314,2440,1246
1530,6237,2473,1290
1540,6219,2457,1324
1550,6303,2462,1235
1560,6311,2441,1248
1570,6253,2523,1224
1580,6208,2529,1263
1590,6259,2467,1274
1600,6267,2482,1251
1610,6225,2573,1202
1620,6282,2397,1321
1630,6268,2474,1258
1640,6044,2630,1326
1650,6023,2698,1279
1660,6118,2619,1263
1670,6008,2738,1254
1680,6057,2606,1337
1690,6128,2609,1263
1700,6099,2595,1306
1710,6148,2572,1280
1720,6068,2606,1326
1730,6044,2598,1358
1740,6121,2611,1268
1750,6081,2609,1310
1760,6060,2673,1267
1770,6028,2678,1294
1780,6164,2529,1307
1790,6125,2610,1265
1800,6069,2645,1286
1810,6068,2595,1337
1820,6102,2614,1284
1830,6119,2549,1332
1840,6066,2648,1286
1850,6145,2559,1296
1860,6924,1966,1110
1870,6988,1879,1133
1880,6937,1938,1125
1890,6994,1849,1157
1900,6940,1890,1170
1910,6948,1905,1147
1920,6893,1952,1155
1930,6952,1910,1138
1940,6871,2008,1121
1950,6030,2680,1290
1960,6085,2652,1263
1970,6032,2651,1317
1980,6017,2693,1290
1990,6057,2669,1274
2000,6126,2588,1286
2010,6037,2648,1315
2020,6074,2663,1263
2030,6042,2658,1300
2040,6039,2685,1276
2050,5999,2728,1273
2060,5995,2700,1305
2070,5319,3339,1342
2080,5421,3312,1267
2090,5317,3355,1328
2100,5358,3390,1252
2110,5356,3349,1295
2120,6019,2667,1314
2130,5410,3221,1369
2140,5352,3318,1330
2150,6090,2665,1245
2160,6090,2627,1283
2170,6111,2576,1313
2180,5946,2745,1309
2190,6006,2717,1277
2200,6046,2631,1323
2210,6045,2668,1287
2220,6032,2667,1301
2230,6084,2619,1297
2240,6050,2683,1267
2250,6010,2670,1320
2260,5988,2726,1286
2270,6102,2655,1243
2280,5964,2686,1350
2290,6074,2614,1312
2300,5285,3421,1294
2310,5360,3374,1266
2320,5346,3323,1331
2330,6161,2561,1278
2340,5393,3353,1254
2350,5367,3285,1348
2360,5416,3339,1245
2370,5375,3334,1291
2380,5297,3397,1306
2390,5383,3337,1280
2400,5366,3337,1297
2410,5422,3367,1211
2420,5314,3394,1292
2430,5365,3337,1298
2440,5352,3358,1290
2450,5308,3394,1298
2460,6073,2674,1253
2470,6106,2637,1257
2480,6095,2628,1277
2490,6086,2603,1311
2500,6102,2684,1214
2510,6033,2669,1298
2520,6053,2654,1293
2530,6010,2689,1301
2540,6065,2678,1257
2550,6938,1943,1119
2560,6935,1952,1113
2570,6935,1937,1128
2580,6932,1894,1174
2590,6944,1945,1111
2600,6954,1856,1190
2610,6930,1915,1155
2620,6931,1910,1159
2630,6988,1889,1123
2640,6906,1951,1143
2650,6928,1941,1131
2660,6886,1964,1150
2670,5354,3407,1239
2680,5393,3345,1262
2690,5394,3397,1209
2700,5332,3387,1281
2710,5352,3344,1304
2720,5298,3350,1352
2730,5376,3323,1301
2740,5362,3371,1267
2750,5276,3424,1300
2760,5301,3380,1319
2770,5431,3290,1279
2780,5406,3342,1252
2790,5368,3369,1263
2800,5356,3306,1338
2810,5388,3326,1286
2820,5456,3327,1217
2830,5380,3365,1255
2840,5295,3396,1309
2850,5325,3313,1362
2860,5436,3302,1262
2870,5344,3356,1300
2880,5393,3294,1313
2890,5455,3321,1224
2900,6117,2644,1239
2910,6091,2662,1247
2920,6092,2598,1310
2930,6013,2686,1301
2940,6041,2685,1274
2950,6076,2633,1291
2960,5996,2721,1283
2970,6067,2650,1283
2980,6132,2580,1288
2990,6053,2669,1278
3000,6017,2668,1315
3010,6028,2685,1287
3020,6076,2641,1283
3030,6000,2677,1323
3040,6085,2614,1301
3050,6139,2657,1204
3060,6028,2663,1309
3070,6147,2603,1250
3080,6065,2624,1311
3090,6168,2559,1273
3100,6063,2647,1290
3110,6043,2671,1286
3120,6158,2588,1254
3130,6061,2644,1295
3140,6099,2621,1280
3150,6084,2630,1286
3160,5988,2684,1328
3170,6101,2571,1328
3180,6128,2690,1182
3190,6076,2684,1240
3200,6065,2652,1283
3210,6109,2625,1266
3220,6018,2662,1320
3230,6095,2673,1232
3240,6025,2670,1305
3250,6029,2644,1327
3260,6097,2627,1276
3270,6087,2653,1260
3280,6113,2624,1263
3290,6070,2658,1272
3300,6042,2648,1310
3310,6066,2677,1257
3320,6102,2624,1274
3330,6073,2625,1302
3340,5400,3282,1318
3350,5357,3327,1316
3360,5407,3366,1227
3370,5421,3352,1227
3380,5366,3328,1306
3390,5327,3324,1349
3400,6069,2619,1312
3410,6031,2677,1292
3420,6107,2634,1259
3430,6082,2638,1280
3440,6109,2595,1296
3450,6133,2615,1252
3460,6102,2679,1219
3470,6058,2684,1258
3480,6086,2625,1289
3490,5282,3494,1224
3500,5244,3441,1315
3510,5337,3353,1310
3520,5330,3417,1253
3530,5391,3303,1306
3540,5329,3405,1266
3550,5341,3434,1225
3560,5358,3376,1266
3570,5328,3429,1243
3580,5325,3425,1250
3590,6897,1965,1138
3600,6990,1907,1103
3610,6912,1958,1130
3620,6938,1919,1143
3630,7015,1881,1104
3640,6875,1982,1143
3650,6958,1896,1146
3660,6944,1928,1128
3670,6888,1962,1150
3680,6920,1947,1133
3690,6998,1859,1143
3700,5361,3270,1369
3710,5318,3359,1323
3720,5390,3312,1298
3730,5350,3377,1273
3740,5351,3342,1307
3750,5384,3363,1253
3760,5301,3408,1291
3770,5338,3379,1283
3780,5373,3325,1302
3790,6079,2589,1332
3800,5977,2740,1283
3810,5975,2736,1289
3820,6025,2740,1235
3830,5994,2745,1261
3840,6078,2628,1294
3850,6076,2619,1305
3860,6031,2628,1341
3870,6042,2670,1288
3880,6095,2633,1272
3890,6047,2652,1301
3900,6055,2631,1314
3910,6126,2565,1309
3920,6206,2600,1194
3930,6088,2674,1238
3940,6106,2680,1214
3950,6063,2600,1337
3960,6029,2615,1356
