episode_number,agent_wins,random_wins,draws
10,6913,1988,1099
20,6904,2011,1085
30,6901,1942,1157
40,6835,2021,1144
50,6895,2013,1092
60,6960,1865,1175
70,6909,1963,1128
80,6944,1955,1101
90,6857,1990,1153
100,6823,1934,1243
110,6884,1944,1172
120,6968,1905,1127
130,6957,1835,1208
140,6821,2052,1127
150,6915,1950,1135
160,6945,1889,1166
170,6815,2009,1176
180,6969,1896,1135
190,6824,1997,1179
200,6891,1966,1143
210,6888,1952,1160
220,6910,1953,1137
230,6724,1994,1282
240,6805,1890,1305
250,6731,1925,1344
260,6737,1964,1299
270,6675,1971,1354
280,6612,2073,1315
290,6721,1939,1340
300,6759,1905,1336
310,6760,1953,1287
320,6801,1930,1269
330,6725,2024,1251
340,6675,2052,1273
350,6780,2051,1169
360,6723,2028,1249
370,6618,2142,1240
380,6675,2076,1249
390,6830,1996,1174
400,6678,2052,1270
410,6720,2104,1176
420,6736,2055,1209
430,6724,2069,1207
440,6720,2082,1198
450,6749,2085,1166
460,6758,2030,1212
470,6773,2033,1194
480,5384,3005,1611
490,5459,2946,1595
500,5416,3004,1580
510,5432,2925,1643
520,5541,2912,1547
530,5407,2944,1649
540,5446,2947,1607
550,5421,2965,1614
560,5403,2955,1642
570,5522,2823,1655
580,5547,2874,1579
590,5719,2659,1622
600,5698,2689,1613
610,5624,2704,1672
620,5604,2719,1677
630,5722,2577,1701
640,5779,2568,1653
650,5788,2613,1599
660,5936,2404,1660
670,5918,2436,1646
680,5832,2532,1636
690,5785,2500,1715
700,5902,2473,1625
710,5833,2478,1689
720,5708,2576,1716
730,5767,2549,1684
740,5783,2508,1709
750,5752,2519,1729
760,5678,2613,1709
770,5849,2597,1554
780,5693,2654,1653
790,5850,2563,1587
800,5760,2623,1617
810,5788,2601,1611
820,5746,2673,1581
830,5829,2615,1556
840,5899,2564,1537
850,5974,2397,1629
860,5934,2518,1548
870,6011,2503,1486
880,6057,2460,1483
890,6092,2446,1462
900,6200,2297,1503
910,6147,2322,1531
920,6234,2299,1467
930,5798,2663,1539
940,5739,2786,1475
950,6277,2459,1264
960,6500,2249,1251
970,6476,2267,1257
980,6443,2321,1236
990,6477,2259,1264
1000,6360,2544,1096
1010,6443,2641,916
1020,6434,2546,1020
1030,6413,2650,937
1040,6390,2646,964
1050,6462,2571,967
1060,6528,2527,945
1070,6595,2498,907
1080,6583,2505,912
1090,6541,2523,936
1100,6639,2434,927
1110,6628,2470,902
1120,6497,2481,1022
1130,6559,2514,927
1140,6541,2513,946
1150,6529,2534,937
1160,6499,2524,977
1170,6640,2407,953
1180,6633,2368,999
1190,6617,2430,953
1200,6565,2436,999
1210,6604,2434,962
1220,6809,2327,864
1230,6669,2403,928
1240,6629,2445,926
1250,6489,2581,930
1260,6350,2684,966
1270,6337,2702,961
1280,6450,2672,878
1290,6209,3091,700
1300,6211,3076,713
1310,6260,3021,719
1320,6517,2856,627
1330,6489,2802,709
1340,6574,2782,644
1350,6321,2994,685
1360,6288,3011,701
1370,6272,3068,660
1380,6249,3112,639
1390,6234,3195,571
1400,6141,3246,613
1410,6116,3246,638
1420,6172,3198,630
1430,6201,3248,551
1440,6106,3278,616
1450,6110,3279,611
1460,6148,3245,607
1470,6189,3204,607
1480,6278,3132,590
1490,6173,3281,546
1500,6218,3204,578
1510,6378,3111,511
1520,6172,3281,547
1530,5797,3197,1006
1540,5883,3165,952
1550,5839,3178,983
1560,5843,3209,948
1570,5686,3321,993
1580,5709,3294,997
1590,5685,3281,1034
1600,5657,3323,1020
1610,5728,3296,976
1620,5823,3183,994
1630,5768,3200,1032
1640,5766,3224,1010
1650,5792,3200,1008
1660,5845,3160,995
1670,5811,3185,1004
1680,5814,3181,1005
1690,5836,3187,977
1700,5935,3068,997
1710,5950,3088,962
1720,5888,3178,934
1730,5966,3066,968
1740,5924,3086,990
1750,5955,3058,987
1760,6043,3020,937
1770,6054,2984,962
1780,5963,3039,998
1790,5934,3087,979
1800,5875,3215,910
1810,5947,3051,1002
1820,5899,3066,1035
1830,5930,3106,964
1840,5918,3144,938
1850,5979,3085,936
1860,5912,3165,923
1870,5818,3185,997
1880,5972,3104,924
1890,5862,3179,959
1900,5834,3207,959
1910,5848,3119,1033
1920,5840,3133,1027
1930,5871,3181,948
1940,5776,3243,981
1950,5799,3173,1028
1960,5866,3147,987
1970,5813,3211,976
1980,5812,3253,935
1990,5834,3201,965
2000,5775,3233,992
2010,5855,3150,995
2020,5802,3063,1135
2030,5805,3000,1195
2040,5812,3028,1160
2050,5712,3120,1168
2060,5761,3085,1154
2070,5700,3144,1156
2080,5602,3199,1199
2090,5745,3124,1131
2100,5742,3143,1115
2110,5825,3106,1069
2120,5592,3290,1118
2130,5754,3102,1144
2140,5732,3135,1133
2150,5730,3125,1145
