episode_number,agent_wins,random_wins,draws
10,6870,1998,1132
20,6811,1994,1195
30,6903,1966,1131
40,6902,1867,1231
50,6233,2197,1570
60,6182,2221,1597
70,5608,2560,1832
80,5298,2574,2128
90,5379,2442,2179
100,5492,2355,2153
110,5492,2464,2044
120,5633,2636,1731
130,5968,2683,1349
140,6123,2638,1239
150,6042,2722,1236
160,6089,2692,1219
170,6036,2648,1316
180,6263,2541,1196
190,6308,2496,1196
200,5998,2608,1394
210,6207,2678,1115
220,6313,2569,1118
230,5400,3146,1454
240,5277,3235,1488
250,5254,3300,1446
260,5395,3102,1503
270,5463,3125,1412
280,5434,3058,1508
290,5463,3051,1486
300,5378,3113,1509
310,5306,3235,1459
320,5393,3051,1556
330,5328,3189,1483
340,5147,3338,1515
350,5153,3709,1138
360,5208,3673,1119
370,5107,3878,1015
380,5557,3322,1121
390,5436,3518,1046
400,5290,3557,1153
410,5438,3035,1527
420,5517,3190,1293
430,5580,3139,1281
440,5757,3124,1119
450,5453,3481,1066
460,5425,3026,1549
470,5483,2812,1705
480,5342,2837,1821
490,5245,2995,1760
500,5345,3018,1637
510,6077,2253,1670
520,6451,2371,1178
530,6519,2211,1270
540,6146,2419,1435
550,6212,2645,1143
560,6827,2019,1154
570,7010,1783,1207
580,6607,2636,757
590,6130,2569,1301
600,6886,1916,1198
610,6175,2561,1264
620,6931,1999,1070
630,6101,2600,1299
640,6099,2644,1257
650,7131,1727,1142
660,6752,1932,1316
670,7642,1737,621
680,6759,2001,1240
690,6098,2744,1158
700,6192,2937,871
710,7064,1876,1060
720,6460,2589,951
730,5945,2707,1348
740,6534,2229,1237
750,6120,2685,1195
760,5722,3305,973
770,6153,2459,1388
780,6687,2195,1118
790,6877,1888,1235
800,5813,2731,1456
810,5874,2676,1450
820,6154,2685,1161
830,6419,2764,817
840,7167,1811,1022
850,5394,2958,1648
860,7072,1824,1104
870,6040,2678,1282
880,6273,2361,1366
890,6682,2132,1186
900,6794,2023,1183
910,6233,2590,1177
920,5773,2785,1442
930,6436,2337,1227
940,6887,1907,1206
950,6027,2649,1324
960,6787,2156,1057
970,7788,1437,775
980,7294,1685,1021
990,7821,1545,634
1000,6405,2475,1120
1010,6953,2479,568
1020,5238,2935,1827
1030,5953,2998,1049
1040,6253,2420,1327
1050,5874,2727,1399
1060,6821,1917,1262
1070,7050,1899,1051
1080,6227,2411,1362
1090,6385,2885,730
1100,6357,2773,870
1110,6377,2232,1391
1120,5982,2500,1518
1130,5514,2784,1702
1140,6019,2642,1339
1150,6658,2165,1177
1160,6618,2185,1197
1170,5373,2832,1795
1180,6612,2226,1162
1190,7859,1545,596
1200,6271,2477,1252
1210,6437,2787,776
1220,5978,2744,1278
1230,6825,2221,954
1240,6031,2637,1332
1250,6727,2079,1194
1260,7203,1737,1060
1270,6807,1962,1231
1280,5979,3162,859
1290,5325,2842,1833
1300,7031,1813,1156
1310,7053,1800,1147
1320,5198,3424,1378
1330,6142,2577,1281
1340,5450,3265,1285
1350,6798,2037,1165
1360,7107,1730,1163
1370,6471,2818,711
1380,7030,1808,1162
1390,6872,1879,1249
1400,5770,3086,1144
1410,6471,2498,1031
1420,7305,1812,883
1430,6814,1941,1245
1440,6602,2211,1187
1450,6316,2352,1332
1460,6391,2748,861
1470,6592,2172,1236
1480,7645,1640,715
1490,6892,1887,1221
1500,6334,2138,1528
1510,7246,1610,1144
1520,5957,2808,1235
1530,5481,3040,1479
1540,6316,2285,1399
1550,6968,1890,1142
1560,7398,1648,954
1570,7364,1674,962
1580,7419,1504,1077
1590,7245,1966,789
1600,7690,1679,631
1610,7303,1939,758
1620,7849,1498,653
1630,6566,2163,1271
1640,7903,1492,605
1650,7886,1463,651
1660,8073,1288,639
1670,7051,1806,1143
1680,7936,1551,513
1690,6884,2136,980
1700,7165,1934,901
1710,7580,1721,699
1720,6904,2070,1026
1730,7418,1823,759
1740,7004,1855,1141
1750,7416,1774,810
1760,7636,1787,577
1770,7390,1630,980
1780,7428,1752,820
1790,7875,1465,660
1800,8110,1223,667
1810,8135,1178,687
1820,7910,1445,645
1830,7954,1432,614
1840,7889,1489,622
1850,7932,1449,619
1860,7649,1661,690
1870,7070,1937,993
1880,7955,1413,632
1890,7267,1968,765
1900,7923,1504,573
1910,7572,1728,700
1920,7936,1456,608
1930,7844,1524,632
1940,8327,1048,625
1950,7802,1415,783
1960,8155,1216,629
1970,7640,1620,740
1980,7750,1659,591
1990,7970,1516,514
2000,7067,2010,923
2010,7643,1656,701
2020,8204,1152,644
2030,8175,1168,657
2040,7699,1533,768
2050,7956,1450,594
2060,7661,1581,758
2070,8368,1008,624
2080,8184,1186,630
2090,7867,1605,528
2100,8204,1204,592
2110,8229,1134,637
2120,6896,2056,1048
2130,7243,1832,925
2140,7653,1551,796
2150,8247,1053,700
2160,7761,1498,741
2170,7599,1599,802
2180,7931,1367,702
2190,8236,1125,639
2200,8279,1106,615
2210,7887,1491,622
2220,7885,1488,627
2230,7998,1321,681
2240,8047,1297,656
2250,8292,1054,654
2260,7931,1351,718
2270,7895,1353,752
2280,8299,1077,624
2290,7970,1266,764
2300,8049,1237,714
2310,7860,1375,765
2320,8055,1263,682
2330,8024,1299,677
2340,8107,1250,643
2350,8051,1319,630
2360,8080,1237,683
2370,7968,1363,669
2380,7935,1312,753
2390,8009,1350,641
2400,8032,1299,669
2410,8270,1116,614
2420,8032,1284,684
2430,8304,1079,617
2440,8279,1113,608
2450,8321,1128,551
2460,8019,1290,691
2470,8032,1265,703
2480,8072,1207,721
2490,8112,1217,671
2500,8283,1115,602
2510,8365,1026,609
2520,8089,1259,652
2530,8049,1273,678
2540,7996,1307,697
2550,8318,1051,631
2560,8285,1054,661
2570,8081,1278,641
2580,8126,1210,664
2590,8021,1329,650
2600,8086,1202,712
2610,8143,1162,695
2620,8040,1265,695
2630,8169,1166,665
2640,8164,1192,644
2650,8063,1222,715
2660,8070,1292,638
2670,8043,1322,635
2680,8084,1235,681
2690,8065,1253,682
2700,8209,1122,669
2710,8113,1091,796
2720,8165,1150,685
2730,8203,1142,655
2740,8213,1105,682
2750,8144,1134,722
2760,8348,1074,578
2770,8099,1252,649
