episode_number,agent_wins,random_wins,draws
10,5629,3321,1050
20,5706,3324,970
30,5716,3280,1004
40,5667,3337,996
50,5613,3414,973
60,5694,3339,967
70,5711,3321,968
80,5696,3283,1021
90,5630,3484,886
100,5626,3404,970
110,5736,3363,901
120,5704,3431,865
130,5670,3420,910
140,5670,3379,951
150,5669,3449,882
160,5803,3394,803
170,4944,3502,1554
180,4986,3492,1522
190,4919,3555,1526
200,5074,3494,1432
210,5024,3531,1445
220,5102,3461,1437
230,4999,3564,1437
240,5040,3516,1444
250,5028,3550,1422
260,5041,3554,1405
270,5072,3585,1343
280,4985,3705,1310
290,5043,3638,1319
300,5050,3620,1330
310,4881,3795,1324
320,4942,3772,1286
330,4890,3828,1282
340,4921,3808,1271
350,5015,3738,1247
360,5094,3605,1301
370,5066,3773,1161
380,5035,3859,1106
390,5096,3799,1105
400,5049,3815,1136
410,4985,3867,1148
420,5135,3752,1113
430,5084,3783,1133
440,4995,3910,1095
450,5094,3780,1126
460,5040,3890,1070
470,4998,3875,1127
480,5017,3902,1081
490,4994,3911,1095
500,5122,3823,1055
510,5005,3920,1075
520,5118,3824,1058
530,5107,3847,1046
540,5354,3588,1058
550,7095,1739,1166
560,7155,1694,1151
570,7106,1736,1158
580,7179,1717,1104
590,7161,1714,1125
600,7199,1639,1162
610,7239,1642,1119
620,7237,1652,1111
630,7150,1715,1135
640,7077,1712,1211
650,7140,1696,1164
660,7117,1757,1126
670,7157,1719,1124
680,7113,1771,1116
690,7134,1739,1127
700,7294,1557,1149
710,7274,1643,1083
720,7434,1452,1114
730,7454,1470,1076
740,7458,1466,1076
750,7405,1502,1093
760,7458,1472,1070
770,7324,1476,1200
780,7423,1459,1118
790,7505,1362,1133
800,7386,1519,1095
810,7294,1539,1167
820,7395,1473,1132
830,7460,1450,1090
840,7359,1478,1163
850,7369,1485,1146
860,7326,1535,1139
870,7434,1463,1103
880,7368,1533,1099
890,7466,1435,1099
900,7436,1453,1111
910,7431,1477,1092
920,7433,1449,1118
930,7472,1398,1130
940,7482,1392,1126
950,7744,1393,863
960,7759,1293,948
970,7744,1290,966
980,7769,1268,963
990,7806,1278,916
1000,7800,1253,947
1010,7728,1327,945
1020,7817,1280,903
1030,7619,1444,937
1040,7513,1507,980
1050,7552,1474,974
1060,7478,1577,945
1070,7460,1627,913
1080,7448,1587,965
1090,7510,1587,903
1100,7426,1651,923
1110,7498,1594,908
1120,7460,1607,933
1130,7554,1534,912
1140,7445,1611,944
1150,7461,1677,862
1160,7489,1538,973
1170,7404,1669,927
1180,7554,1545,901
1190,7531,1599,870
1200,7533,1559,908
1210,7435,1610,955
1220,7482,1634,884
1230,7469,1624,907
1240,7435,1689,876
1250,7533,1567,900
1260,7515,1574,911
1270,7427,1652,921
1280,7471,1658,871
1290,7491,1612,897
1300,7547,1534,919
1310,7523,1534,943
1320,7503,1498,999
1330,7487,1565,948
1340,7604,1429,967
1350,7531,1464,1005
1360,7550,1499,951
1370,7540,1534,926
1380,7518,1526,956
1390,7491,1539,970
1400,7329,1639,1032
1410,7418,1658,924
1420,7391,1620,989
1430,7325,1653,1022
1440,7303,1670,1027
1450,7374,1591,1035
1460,7314,1637,1049
1470,7220,1684,1096
1480,7317,1633,1050
1490,6716,2086,1198
1500,6628,2156,1216
1510,6666,2075,1259
1520,6584,2110,1306
1530,6529,2148,1323
1540,6554,2133,1313
1550,6534,2168,1298
1560,6598,2178,1224
1570,6568,2241,1191
1580,6575,2206,1219
1590,6489,2263,1248
1600,6604,2233,1163
1610,6633,2236,1131
1620,6554,2275,1171
1630,6687,2145,1168
1640,6659,2240,1101
1650,6625,2217,1158
1660,6616,2268,1116
1670,6592,2208,1200
1680,6635,2190,1175
1690,6574,2274,1152
1700,6545,2286,1169
1710,6381,2371,1248
1720,6268,2405,1327
1730,6260,2583,1157
1740,6212,2624,1164
1750,6107,2648,1245
1760,6095,2637,1268
1770,5970,2844,1186
1780,5989,2953,1058
1790,6136,2779,1085
1800,6103,2830,1067
1810,6078,2878,1044
1820,6044,2933,1023
1830,6061,2886,1053
1840,5962,2916,1122
1850,6129,2800,1071
1860,6236,2790,974
1870,6276,2573,1151
1880,6134,2693,1173
1890,6128,2713,1159
1900,6202,2704,1094
1910,6161,2649,1190
1920,6223,2638,1139
1930,6193,2714,1093
1940,6172,2835,993
1950,6264,2666,1070
1960,6461,2471,1068
1970,6317,2527,1156
1980,6236,2604,1160
1990,6260,2595,1145
2000,6250,2609,1141
2010,6259,2646,1095
2020,6374,2399,1227
2030,6284,2446,1270
2040,6263,2431,1306
2050,6147,2667,1186
2060,6135,2628,1237
2070,6145,2594,1261
2080,6179,2655,1166
2090,6141,2544,1315
2100,6100,2656,1244
2110,6159,2596,1245
2120,6134,2637,1229
2130,6161,2594,1245
2140,6193,2574,1233
2150,6164,2548,1288
2160,6239,2485,1276
2170,6190,2585,1225
2180,6105,2576,1319
2190,6124,2592,1284
2200,6243,2670,1087
2210,6086,2748,1166
2220,6177,2674,1149
2230,6139,2703,1158
2240,6160,2678,1162
2250,6118,2738,1144
2260,6201,2643,1156
2270,6099,2719,1182
2280,6075,2729,1196
2290,6049,2754,1197
2300,6213,2627,1160
2310,6153,2694,1153
2320,6107,2680,1213
2330,6143,2690,1167
2340,6101,2726,1173
2350,6084,2788,1128
2360,6168,2676,1156
2370,6178,2696,1126
2380,6005,2774,1221
2390,6015,2755,1230
2400,6044,2695,1261
2410,6019,2724,1257
2420,5985,2782,1233
2430,5961,2843,1196
2440,6089,2727,1184
2450,6005,2753,1242
2460,6015,2746,1239
2470,5959,2781,1260
2480,6028,2799,1173
2490,6059,2762,1179
2500,6009,2848,1143
2510,5980,2810,1210
2520,6054,2757,1189
2530,5984,2858,1158
2540,5922,2898,1180
2550,5771,3044,1185
