episode_number,agent_wins,random_wins,draws
10,2926,3103,3971
20,2965,3131,3904
30,2961,3084,3955
40,2943,3084,3973
50,2911,3004,4085
60,2940,2969,4091
70,2929,3167,3904
80,2776,3049,4175
90,2796,3000,4204
100,2818,2971,4211
110,3106,2036,4858
120,3079,2058,4863
130,3240,1986,4774
140,3295,2014,4691
150,3260,1968,4772
160,3444,1963,4593
170,3297,2038,4665
180,3335,2011,4654
190,3311,2084,4605
200,3317,2136,4547
210,3393,2210,4397
220,3416,2308,4276
230,3338,2267,4395
240,3455,2333,4212
250,3205,2382,4413
260,3372,2285,4343
270,3417,2283,4300
280,3386,2301,4313
290,3375,2413,4212
300,3311,2420,4269
310,3326,2337,4337
320,3368,2404,4228
330,3418,2442,4140
340,3322,2450,4228
350,3296,2497,4207
360,3362,2495,4143
370,3352,2478,4170
380,3323,2543,4134
390,3368,2422,4210
400,3384,2444,4172
410,3353,2514,4133
420,3273,2501,4226
430,3157,2578,4265
440,3229,2532,4239
450,3064,2607,4329
460,3089,2689,4222
470,3187,2615,4198
480,3101,2652,4247
490,2889,2921,4190
500,2895,2890,4215
510,2964,2867,4169
520,2843,2997,4160
530,2922,2924,4154
540,2945,3018,4037
550,2971,2857,4172
560,3006,2974,4020
570,2892,2990,4118
580,2943,3005,4052
590,2956,2906,4138
600,2850,3070,4080
610,2688,3104,4208
620,2833,3061,4106
630,2842,3021,4137
640,2766,3055,4179
650,2745,3048,4207
660,2888,3020,4092
670,2824,3025,4151
680,2806,3003,4191
690,2815,3000,4185
700,2734,2945,4321
710,2839,2989,4172
720,2809,2878,4313
730,2655,3065,4280
740,2714,2957,4329
750,2651,2931,4418
760,2684,2920,4396
770,2654,2965,4381
780,2689,2905,4406
790,2631,3010,4359
800,2826,2813,4361
810,2903,2764,4333
820,2920,2769,4311
830,2921,2770,4309
840,2903,2692,4405
850,3042,2734,4224
860,3125,2691,4184
870,3004,2706,4290
880,3084,2621,4295
890,3083,2557,4360
900,3135,2513,4352
910,3071,2447,4482
920,3111,2461,4428
930,3167,2398,4435
940,3065,2476,4459
950,3084,2495,4421
960,3069,2567,4364
970,3078,2677,4245
980,2967,2842,4191
990,2576,2416,5008
1000,2372,2457,5171
1010,2270,2467,5263
1020,2394,2574,5032
1030,2414,2610,4976
1040,2561,2504,4935
1050,2851,2516,4633
1060,3108,2574,4318
1070,3422,2498,4080
1080,3574,2413,4013
1090,3654,2211,4135
1100,3660,2082,4258
1110,3076,1983,4941
1120,2999,2217,4784
1130,3679,1836,4485
1140,3147,2454,4399
1150,3053,2675,4272
1160,3434,2657,3909
1170,3149,2406,4445
1180,3441,2587,3972
1190,2947,2570,4483
1200,3458,2359,4183
1210,3949,2399,3652
1220,2464,2684,4852
1230,3096,3050,3854
1240,3361,2666,3973
1250,2712,3020,4268
1260,3009,3096,3895
1270,2396,3204,4400
1280,3431,2575,3994
1290,2860,3117,4023
1300,3120,3089,3791
1310,2624,3142,4234
1320,3187,2670,4143
1330,3885,2568,3547
1340,2974,2414,4612
1350,3550,2138,4312
1360,3409,2414,4177
1370,3163,2843,3994
1380,2893,2982,4125
1390,3473,2201,4326
1400,2994,2837,4169
1410,2965,2788,4247
1420,3086,2013,4901
1430,2903,2779,4318
1440,3367,2159,4474
1450,3458,2608,3934
1460,3285,2395,4320
1470,2859,2635,4506
1480,3124,2790,4086
1490,2613,2940,4447
1500,3384,2451,4165
1510,3045,3163,3792
1520,4218,2513,3269
1530,3687,2075,4238
1540,4092,2837,3071
1550,3035,1631,5334
1560,4000,2238,3762
1570,4059,2333,3608
1580,3862,2268,3870
1590,4148,2116,3736
1600,3453,2572,3975
1610,3275,2511,4214
1620,3848,2526,3626
1630,3789,2271,3940
1640,3618,1980,4402
1650,3537,2708,3755
1660,2980,2830,4190
1670,2262,2359,5379
1680,3663,2512,3825
1690,3701,2459,3840
1700,3188,2577,4235
1710,2953,2014,5033
1720,3582,3358,3060
1730,2607,2933,4460
1740,3832,2155,4013
1750,3317,2194,4489
1760,3614,3007,3379
1770,3522,2452,4026
1780,3836,3140,3024
1790,3159,2620,4221
1800,3529,3412,3059
1810,3998,2114,3888
1820,3310,2673,4017
1830,3987,2195,3818
1840,3338,2265,4397
1850,2730,3053,4217
1860,2921,2729,4350
1870,2566,3225,4209
1880,3133,3385,3482
1890,3438,3012,3550
1900,2881,3020,4099
1910,3536,2933,3531
1920,3420,2379,4201
1930,4315,2579,3106
1940,3228,1990,4782
1950,2817,2586,4597
1960,3432,2907,3661
1970,3112,2753,4135
1980,3598,2541,3861
1990,3154,2873,3973
