episode_number,agent_wins,random_wins,draws
10,3307,2740,3953
20,3052,2727,4221
30,2935,2890,4175
40,3001,2785,4214
50,3077,2913,4010
60,3048,2840,4112
70,3036,2946,4018
80,3141,2939,3920
90,3107,2923,3970
100,2840,2650,4510
110,2907,2767,4326
120,2878,2864,4258
130,3358,3030,3612
140,3050,2927,4023
150,3061,2992,3947
160,3095,3010,3895
170,3131,3028,3841
180,2933,2943,4124
190,2963,2938,4099
200,2989,2936,4075
210,2985,2930,4085
220,2919,2953,4128
230,2892,2975,4133
240,2767,2995,4238
250,2870,2892,4238
260,2797,2960,4243
270,3392,2247,4361
280,3313,2286,4401
290,3336,2337,4327
300,3280,2457,4263
310,3401,2351,4248
320,3460,2401,4139
330,3481,2424,4095
340,3507,2430,4063
350,3573,2445,3982
360,3631,2426,3943
370,3499,2512,3989
380,3540,2534,3926
390,3562,2535,3903
400,3556,2608,3836
410,3725,2478,3797
420,3756,2536,3708
430,3660,2554,3786
440,3681,2578,3741
450,3664,2514,3822
460,3747,2491,3762
470,3761,2524,3715
480,3606,2596,3798
490,3434,3034,3532
500,3520,2981,3499
510,3514,2885,3601
520,3555,2918,3527
530,3530,2985,3485
540,3439,2963,3598
550,3439,2880,3681
560,3411,2951,3638
570,3374,2901,3725
580,3370,2893,3737
590,3422,2940,3638
600,3335,2991,3674
610,3391,2965,3644
620,3238,3047,3715
630,3210,2959,3831
640,3213,2984,3803
650,3263,2982,3755
660,3232,3054,3714
670,3146,3117,3737
680,3147,3046,3807
690,3194,3103,3703
700,3201,3097,3702
710,3071,3139,3790
720,3000,3242,3758
730,2950,3262,3788
740,3011,3251,3738
750,2993,3226,3781
760,2980,3210,3810
770,2903,3255,3842
780,2935,3216,3849
790,2871,3276,3853
800,2797,3331,3872
810,2824,3221,3955
820,2856,3300,3844
830,2918,3202,3880
840,2888,3284,3828
850,2840,3153,4007
860,2643,3235,4122
870,2665,3023,4312
880,2697,3039,4264
890,2688,3060,4252
900,2632,3138,4230
910,2746,2957,4297
920,2845,2855,4300
930,2809,2936,4255
940,2747,2703,4550
950,2789,2634,4577
960,3182,2730,4088
970,3155,2682,4163
980,3188,2673,4139
990,3219,2651,4130
1000,3358,2556,4086
1010,3354,2565,4081
1020,3380,2400,4220
1030,3373,2340,4287
1040,3413,2273,4314
1050,3461,2266,4273
1060,3624,2011,4365
1070,3659,2001,4340
1080,3627,2084,4289
1090,3804,2194,4002
1100,3854,2268,3878
1110,3710,2339,3951
1120,3634,2426,3940
1130,3627,2376,3997
1140,3670,2360,3970
1150,3686,2397,3917
1160,3705,2421,3874
1170,3463,2658,3879
1180,3022,2920,4058
1190,2712,3066,4222
1200,2906,2935,4159
1210,2967,2909,4124
1220,2996,3092,3912
1230,2929,2796,4275
1240,3297,2129,4574
1250,3267,2280,4453
1260,3152,2833,4015
