episode_number,agent_wins,random_wins,draws
10,6998,1851,1151
20,7068,1759,1173
30,6947,1841,1212
40,7025,1954,1021
50,6988,1930,1082
60,6961,2003,1036
70,7001,1831,1168
80,7188,1805,1007
90,7095,1870,1035
100,7127,1801,1072
110,7248,1748,1004
120,7203,1761,1036
130,7242,1726,1032
140,7094,1785,1121
150,7133,1816,1051
160,7157,1768,1075
170,7252,1668,1080
180,7128,1818,1054
190,7262,1735,1003
200,7348,1586,1066
210,7341,1672,987
220,6795,1893,1312
230,6551,2020,1429
240,6570,2072,1358
250,6507,2153,1340
260,6244,2323,1433
270,6329,2214,1457
280,6461,2219,1320
290,6297,2359,1344
300,6430,2317,1253
310,6446,2280,1274
320,6376,2259,1365
330,6104,2406,1490
340,5557,3132,1311
350,5568,3067,1365
360,5479,3228,1293
370,5552,3266,1182
380,5656,3365,979
390,5607,3365,1028
400,5651,3401,948
410,5709,3487,804
420,5524,3633,843
430,4820,3967,1213
440,4792,3921,1287
450,5150,3545,1305
460,4909,3809,1282
470,4947,3924,1129
480,4928,4016,1056
490,4611,4316,1073
500,4843,3974,1183
510,4886,4094,1020
520,4601,4343,1056
530,4868,4116,1016
540,4602,4315,1083
550,4930,3783,1287
560,4685,4088,1227
570,4841,3903,1256
580,4951,3740,1309
590,5275,3549,1176
600,5026,3952,1022
610,6481,2744,775
620,6121,3038,841
630,6537,2672,791
640,6366,2821,813
650,6601,2166,1233
660,6827,2116,1057
670,5090,3425,1485
680,4982,3546,1472
690,5002,3441,1557
700,6397,2346,1257
710,4757,3922,1321
720,4769,3974,1257
730,5276,3240,1484
740,5173,3550,1277
750,7057,1827,1116
760,4995,3645,1360
770,4749,3937,1314
780,6897,2101,1002
790,6610,2287,1103
800,7345,1791,864
810,6783,2218,999
820,6946,2046,1008
830,5577,3404,1019
840,7510,1803,687
850,7239,1789,972
860,7370,1472,1158
870,5920,3139,941
880,7525,1251,1224
890,5767,3265,968
900,6220,2893,887
910,6556,2638,806
920,7332,2116,552
930,5413,3645,942
940,7002,2242,756
950,5439,3724,837
960,5490,3663,847
970,6818,2258,924
980,7020,2177,803
990,7576,1920,504
1000,7127,2283,590
1010,7316,2088,596
1020,7557,2015,428
1030,7261,2158,581
1040,7430,2051,519
1050,7328,2229,443
1060,7382,2167,451
1070,7317,2187,496
1080,7373,2129,498
1090,7428,2141,431
1100,7409,2064,527
1110,7203,2288,509
1120,7091,2457,452
1130,6956,2524,520
1140,6872,2649,479
1150,6905,2200,895
1160,6785,2445,770
1170,6577,2937,486
1180,7031,2485,484
1190,6517,2818,665
1200,6681,2902,417
1210,6868,2681,451
1220,7133,2458,409
1230,6982,2551,467
1240,7253,2352,395
1250,7127,2495,378
1260,7038,2369,593
1270,6893,2673,434
1280,6790,2681,529
1290,6644,2762,594
1300,6632,2711,657
1310,6927,2529,544
1320,7005,2461,534
1330,6591,2896,513
1340,6666,2753,581
1350,6757,2801,442
1360,6780,2777,443
1370,6872,2571,557
1380,7318,2174,508
1390,7077,2337,586
1400,7162,2298,540
1410,7313,2128,559
1420,6911,2581,508
1430,7219,2465,316
1440,7092,2353,555
1450,7103,2470,427
1460,7630,2131,239
1470,7119,2505,376
1480,7243,2411,346
1490,7007,2640,353
1500,7477,2118,405
1510,7457,2167,376
1520,7637,1954,409
1530,7558,2036,406
1540,7281,2377,342
1550,7243,2335,422
1560,7177,2448,375
1570,7173,2421,406
1580,7079,2495,426
1590,7103,2539,358
1600,7754,1934,312
1610,7576,2056,368
1620,7582,2024,394
1630,7317,2340,343
1640,6767,2898,335
1650,6751,2841,408
1660,6965,2692,343
1670,7033,2511,456
1680,7080,2532,388
1690,6809,2708,483
1700,6507,3026,467
1710,6750,2396,854
1720,6559,2956,485
1730,6631,2820,549
1740,6963,2320,717
1750,6980,2266,754
1760,6792,2815,393
1770,7009,2207,784
1780,7141,2498,361
1790,7155,2387,458
1800,7337,2240,423
1810,7689,1955,356
1820,7134,2421,445
1830,7011,2514,475
1840,6932,2635,433
1850,7031,2522,447
1860,7381,2126,493
1870,7097,2451,452
1880,7075,2488,437
1890,6893,2653,454
1900,6379,3132,489
1910,6996,2644,360
1920,7428,2179,393
1930,6881,2746,373
1940,7107,2450,443
1950,6549,3078,373
1960,6550,3139,311
1970,6385,3105,510
1980,7338,2327,335
1990,7436,2238,326
2000,7922,1743,335
2010,8041,1692,267
2020,7858,1691,451
2030,7511,2193,296
2040,7359,2443,198
2050,6832,2785,383
2060,7829,1977,194
2070,8536,1338,126
2080,8214,1654,132
2090,8362,1424,214
2100,8051,1823,126
2110,8014,1739,247
2120,8099,1677,224
2130,8294,1402,304
2140,8255,1441,304
2150,8236,1470,294
2160,8006,1655,339
2170,7688,1958,354
2180,7432,2193,375
2190,7685,1994,321
2200,8115,1613,272
2210,7678,2052,270
2220,8088,1602,310
2230,8416,1415,169
2240,7625,1833,542
2250,8013,1790,197
2260,8166,1626,208
2270,8161,1591,248
2280,8069,1576,355
2290,7818,1819,363
2300,8120,1593,287
2310,8292,1419,289
2320,8194,1565,241
2330,8156,1600,244
2340,8147,1598,255
2350,8339,1338,323
2360,7567,2047,386
2370,7789,1575,636
2380,8205,1356,439
2390,7849,1777,374
2400,7414,2043,543
2410,7700,1746,554
2420,7925,1799,276
2430,7976,1807,217
2440,7978,1767,255
2450,8152,1568,280
2460,8177,1526,297
2470,8425,1151,424
2480,7411,1876,713
2490,8457,1158,385
2500,8360,1258,382
2510,8353,1276,371
2520,8294,1394,312
2530,8388,1267,345
2540,7139,2369,492
2550,7292,2226,482
2560,7189,2348,463
2570,7167,2260,573
2580,7355,2033,612
2590,7806,1675,519
2600,7685,1795,520
2610,7599,1809,592
2620,7509,2016,475
2630,7249,2039,712
2640,7441,2103,456
2650,7252,2044,704
2660,7171,2113,716
2670,7166,2218,616
2680,7353,2076,571
2690,7252,2182,566
2700,7758,1825,417
2710,7663,1785,552
2720,7871,1739,390
2730,8138,1489,373
2740,8156,1506,338
2750,8358,1334,308
2760,8191,1397,412
2770,8175,1407,418
2780,8377,1294,329
2790,8264,1299,437
2800,8123,1512,365
2810,8144,1396,460
2820,8249,1267,484
2830,8622,1025,353
2840,8163,1411,426
2850,7842,1688,470
2860,8005,1592,403
2870,8060,1558,382
2880,7368,2018,614
2890,7276,2116,608
2900,7617,1934,449
2910,7976,1626,398
2920,8164,1502,334
2930,7925,1717,358
2940,8063,1592,345
2950,7881,1748,371
2960,8241,1384,375
2970,8467,1180,353
2980,7793,1629,578
2990,7778,1614,608
3000,8304,1326,370
3010,7874,1605,521
3020,7931,1559,510
3030,7874,1644,482
3040,8006,1628,366
3050,7984,1657,359
3060,8114,1587,299
3070,7684,1827,489
3080,7879,1632,489
3090,8105,1427,468
3100,7944,1534,522
3110,7890,1571,539
3120,7898,1548,554
3130,8538,1143,319
3140,8464,1221,315
3150,7914,1596,490
3160,7877,1617,506
3170,7650,1738,612
3180,7733,1660,607
3190,7858,1554,588
3200,7727,1761,512
3210,7962,1464,574
3220,8204,1248,548
3230,8352,1155,493
3240,7907,1662,431
3250,7955,1633,412
3260,8149,1394,457
3270,8098,1411,491
3280,7878,1556,566
3290,8146,1380,474
3300,8213,1332,455
3310,8547,1069,384
3320,8584,1090,326
3330,8470,1163,367
3340,8353,1236,411
3350,8886,771,343
3360,8699,1008,293
3370,8007,1424,569
3380,8127,1403,470
3390,8009,1516,475
3400,7823,1571,606
3410,7837,1578,585
3420,7709,1606,685
3430,7809,1570,621
3440,7945,1520,535
3450,7774,1618,608
3460,7662,1745,593
3470,8220,1434,346
3480,8312,1281,407
3490,8076,1451,473
3500,8462,1136,402
3510,8624,1034,342
3520,8561,1056,383
3530,7796,1544,660
3540,7986,1460,554
3550,7819,1536,645
3560,7808,1500,692
3570,7509,1776,715
3580,7868,1495,637
3590,7986,1443,571
3600,7865,1565,570
3610,7938,1554,508
3620,7926,1467,607
3630,7951,1427,622
3640,7864,1460,676
3650,8248,1283,469
3660,8299,1241,460
3670,7963,1477,560
3680,7930,1446,624
3690,8030,1397,573
3700,7948,1491,561
3710,8211,1327,462
3720,8397,1164,439
3730,8173,1331,496
3740,8320,1215,465
3750,8370,1219,411
3760,8577,1085,338
3770,8266,1282,452
3780,8095,1354,551
3790,8283,1222,495
3800,8256,1301,443
3810,8284,1246,470
3820,8237,1265,498
3830,8338,1229,433
3840,8172,1314,514
3850,8387,1137,476
3860,8465,1131,404
3870,8467,1122,411
3880,8728,894,378
3890,8995,671,334
3900,8849,855,296
3910,8899,800,301
3920,8779,851,370
3930,8958,739,303
3940,9336,473,191
3950,8901,761,338
3960,9227,529,244
3970,9197,562,241
3980,9074,631,295
3990,9130,625,245
4000,8574,943,483
4010,9248,522,230
4020,8795,835,370
4030,9168,562,270
4040,8874,813,313
4050,8989,704,307
4060,8910,788,302
4070,8854,810,336
4080,8335,1156,509
4090,8844,829,327
4100,8984,757,259
4110,9114,591,295
4120,8911,751,338
4130,9116,608,276
4140,9071,643,286
4150,9161,590,249
4160,9232,542,226
4170,9312,528,160
4180,9396,444,160
4190,9351,479,170
4200,9433,385,182
4210,8834,775,391
4220,9372,423,205
4230,8764,857,379
4240,8822,787,391
4250,8973,673,354
4260,8803,784,413
4270,8734,862,404
4280,8895,719,386
4290,9004,642,354
4300,8894,716,390
4310,8882,771,347
4320,8703,851,446
4330,9327,439,234
4340,8836,793,371
4350,9400,438,162
4360,9464,348,188
4370,9469,364,167
4380,9499,338,163
4390,9001,693,306
4400,9309,471,220
4410,9402,404,194
4420,9417,408,175
4430,9458,373,169
4440,9456,384,160
4450,9524,338,138
4460,9496,379,125
4470,9520,338,142
4480,9331,523,146
4490,9502,327,171
4500,9567,270,163
4510,9489,359,152
4520,9259,607,134
4530,9350,437,213
4540,8911,862,227
4550,9107,677,216
4560,9226,565,209
4570,8969,815,216
4580,8942,826,232
4590,9391,458,151
4600,9185,659,156
4610,9405,464,131
4620,9219,578,203
4630,9262,616,122
4640,9285,599,116
4650,9433,453,114
4660,9309,560,131
4670,9078,718,204
4680,9377,441,182
4690,9251,580,169
4700,9163,672,165
4710,9331,492,177
4720,8845,830,325
4730,9199,538,263
4740,8976,710,314
4750,8944,708,348
4760,9432,421,147
4770,9282,551,167
4780,9389,447,164
4790,9298,538,164
4800,9344,442,214
4810,9315,472,213
4820,9431,409,160
4830,9304,516,180
4840,9397,453,150
4850,9366,492,142
4860,9485,392,123
4870,9292,572,136
4880,9487,402,111
4890,9353,476,171
4900,9426,438,136
4910,9473,400,127
4920,9502,380,118
4930,9569,319,112
4940,9547,341,112
4950,9414,444,142
4960,9403,448,149
4970,9533,370,97
4980,9544,374,82
4990,9649,242,109
5000,9630,265,105
5010,9461,367,172
5020,9718,207,75
5030,9743,193,64
5040,9757,190,53
5050,9623,311,66
5060,9495,395,110
5070,9601,320,79
5080,9632,310,58
5090,9624,315,61
5100,9514,400,86
5110,9524,382,94
5120,9743,176,81
5130,9706,212,82
5140,9674,232,94
5150,9682,240,78
5160,9500,351,149
5170,9741,191,68
5180,9548,364,88
5190,9644,289,67
5200,9629,315,56
5210,9671,251,78
5220,9601,299,100
5230,9607,321,72
5240,9646,284,70
5250,9604,317,79
5260,9607,320,73
5270,9672,251,77
5280,9627,285,88
5290,9631,290,79
5300,9631,282,87
5310,9623,292,85
5320,9635,297,68
5330,9631,298,71
5340,9644,282,74
5350,9539,387,74
5360,9622,316,62
5370,9660,275,65
5380,9561,343,96
5390,9537,384,79
5400,9608,301,91
5410,9522,376,102
5420,9502,380,118
5430,9519,333,148
5440,9473,410,117
5450,9476,377,147
5460,9549,354,97
5470,9506,379,115
5480,9520,361,119
5490,9471,396,133
5500,9490,388,122
5510,9490,361,149
5520,9490,379,131
5530,9474,407,119
5540,9493,391,116
5550,9481,388,131
5560,9514,374,112
5570,9449,393,158
5580,9460,397,143
5590,9445,434,121
5600,9433,426,141
5610,9611,252,137
5620,9486,407,107
5630,9452,416,132
5640,9450,388,162
5650,9492,385,123
5660,9526,331,143
5670,9673,244,83
5680,9606,316,78
5690,9533,371,96
5700,9670,235,95
5710,9670,234,96
5720,9496,419,85
5730,9519,398,83
5740,9527,400,73
5750,9472,409,119
5760,9662,235,103
5770,9473,409,118
5780,9473,405,122
5790,9629,252,119
5800,9642,252,106
5810,9364,427,209
5820,9577,285,138
5830,9156,596,248
5840,9653,254,93
5850,9566,293,141
5860,9473,410,117
5870,9477,380,143
5880,9221,555,224
5890,9355,528,117
5900,9205,569,226
5910,9434,391,175
5920,9438,369,193
5930,9495,363,142
5940,9311,431,258
5950,9279,450,271
5960,9527,285,188
5970,9413,402,185
5980,9272,449,279
5990,9592,272,136
6000,9471,337,192
6010,9589,269,142
6020,9290,454,256
6030,9516,343,141
6040,9485,349,166
6050,9446,361,193
6060,9614,248,138
6070,9468,375,157
6080,9627,240,133
6090,9612,264,124
6100,9517,329,154
6110,9445,355,200
6120,9578,255,167
6130,9634,237,129
6140,9618,241,141
6150,9305,492,203
6160,9453,315,232
6170,9411,332,257
6180,9532,314,154
6190,9464,391,145
6200,9586,258,156
6210,9667,199,134
6220,9612,242,146
6230,9651,218,131
6240,9606,228,166
6250,9383,361,256
6260,9324,416,260
6270,9368,362,270
6280,8974,641,385
6290,9299,488,213
6300,9616,218,166
6310,9360,391,249
6320,9344,389,267
6330,9395,358,247
6340,9374,338,288
6350,9406,343,251
6360,9356,367,277
6370,9389,344,267
6380,9641,209,150
6390,9582,239,179
6400,9672,181,147
6410,9643,190,167
6420,9579,275,146
6430,9295,447,258
6440,9545,298,157
6450,9525,326,149
6460,9636,196,168
6470,9600,258,142
6480,9572,295,133
6490,9616,244,140
6500,9609,237,154
6510,9664,192,144
6520,9638,236,126
6530,9592,270,138
6540,9682,169,149
6550,9684,155,161
6560,9590,256,154
6570,9679,207,114
6580,9683,187,130
6590,9634,224,142
6600,9590,284,126
6610,9399,368,233
6620,9345,406,249
6630,9392,408,200
6640,9363,466,171
6650,9607,250,143
6660,9363,447,190
6670,9627,241,132
6680,9602,263,135
6690,9605,268,127
6700,9585,262,153
6710,9565,289,146
6720,9565,275,160
6730,9568,288,144
6740,9549,315,136
6750,9551,320,129
6760,9514,305,181
6770,9535,279,186
6780,9588,278,134
6790,9332,375,293
6800,9567,314,119
6810,9540,308,152
6820,9529,331,140
6830,9510,371,119
6840,9555,293,152
6850,9549,312,139
6860,9599,248,153
6870,9554,314,132
6880,9287,477,236
6890,9259,487,254
6900,9551,299,150
6910,9310,472,218
6920,9335,443,222
6930,9322,417,261
6940,9268,495,237
6950,9538,316,146
6960,9211,545,244
6970,9351,398,251
6980,9364,419,217
6990,9416,366,218
7000,9255,478,267
7010,9422,397,181
7020,9394,400,206
7030,9321,466,213
7040,9392,356,252
7050,9417,352,231
7060,9365,437,198
7070,9384,389,227
7080,9399,359,242
7090,9398,391,211
7100,9442,337,221
7110,9399,378,223
7120,9386,408,206
7130,9429,366,205
7140,9409,362,229
7150,9342,433,225
7160,9393,387,220
7170,9339,435,226
7180,9351,386,263
7190,9346,395,259
7200,9343,367,290
7210,9371,392,237
7220,9390,354,256
7230,9370,400,230
7240,9382,416,202
7250,9378,401,221
7260,9363,416,221
7270,9381,371,248
7280,9368,406,226
7290,9373,436,191
7300,9416,389,195
7310,9378,428,194
7320,9408,361,231
7330,9413,384,203
7340,9414,386,200
7350,9516,349,135
