episode_number,agent_wins,random_wins,draws
10,5963,3074,963
20,5910,2769,1321
30,6244,2395,1361
40,6155,2917,928
50,7328,2128,544
60,7150,2267,583
70,8063,1540,397
80,8879,800,321
90,8449,1019,532
100,8545,847,608
110,7329,2099,572
120,8742,1045,213
130,8098,1508,394
140,8741,888,371
150,8792,1050,158
160,8999,782,219
170,9349,488,163
180,9395,465,140
190,5494,3841,665
200,9264,587,149
210,6598,2362,1040
220,8930,939,131
230,8894,843,263
240,6816,2577,607
250,8668,1003,329
260,9109,646,245
270,9254,394,352
280,9372,512,116
290,9287,524,189
300,9473,283,244
310,9344,478,178
320,9494,321,185
330,9447,348,205
340,9227,489,284
350,9366,287,347
360,9017,547,436
370,7700,1485,815
380,9297,449,254
390,9125,531,344
400,8631,921,448
410,9213,528,259
420,7390,2084,526
430,7910,1683,407
440,6663,2809,528
450,7841,1603,556
460,9239,467,294
470,8477,1103,420
480,8982,708,310
490,9436,358,206
500,8608,737,655
510,8242,874,884
520,8363,905,732
530,7942,1505,553
540,8027,1422,551
550,8192,1092,716
560,7913,1196,891
570,7797,1653,550
580,4832,4425,743
590,7908,1301,791
600,8028,1263,709
610,8472,997,531
620,8603,871,526
630,8366,1203,431
640,8626,846,528
650,8288,906,806
660,8511,1167,322
670,8131,1274,595
680,8385,1034,581
690,7083,1907,1010
700,8428,779,793
710,7968,1135,897
720,8006,997,997
730,8996,573,431
740,8634,781,585
750,8106,1293,601
760,8101,1409,490
770,7447,1738,815
780,7788,1496,716
790,8520,1056,424
800,8028,1221,751
810,8223,1139,638
820,8360,967,673
830,9002,588,410
840,8725,677,598
850,7721,1231,1048
860,8532,803,665
870,8582,817,601
880,8528,885,587
890,7960,1079,961
900,8277,1146,577
910,8701,941,358
920,8491,995,514
930,8301,1147,552
940,8113,1222,665
950,8718,622,660
960,9247,382,371
970,8869,704,427
980,8931,402,667
990,8323,852,825
1000,8299,789,912
1010,8532,940,528
1020,8704,800,496
1030,9193,383,424
1040,9220,411,369
1050,9452,185,363
1060,9055,408,537
1070,8961,281,758
1080,9021,429,550
1090,7782,1545,673
1100,8605,1076,319
1110,9301,284,415
1120,8802,597,601
1130,9041,301,658
1140,8682,705,613
1150,8723,977,300
1160,8535,964,501
1170,9243,412,345
1180,9210,353,437
1190,6363,2311,1326
1200,8857,823,320
1210,8630,751,619
1220,8767,986,247
1230,9114,457,429
1240,9021,687,292
1250,8674,887,439
1260,9205,348,447
1270,8955,432,613
1280,8830,681,489
1290,8898,699,403
1300,8869,730,401
1310,8834,688,478
1320,8324,1196,480
1330,8850,806,344
1340,8164,1451,385
1350,8633,950,417
1360,8985,732,283
1370,9116,632,252
1380,8534,1128,338
1390,8949,867,184
1400,8813,953,234
1410,8450,1178,372
1420,8547,1034,419
1430,9059,585,356
1440,8812,901,287
1450,7304,1941,755
1460,8703,889,408
1470,9003,726,271
1480,8574,903,523
1490,9396,328,276
1500,9407,304,289
1510,9366,357,277
1520,9175,672,153
1530,9290,355,355
1540,9383,327,290
