episode_number,agent_wins,random_wins,draws
10,6114,3030,856
20,6097,2933,970
30,6202,2981,817
40,6254,2856,890
50,6399,2822,779
60,6249,2949,802
70,6439,2737,824
80,6445,2757,798
90,6434,2849,717
100,6923,2458,619
110,6800,2490,710
120,6978,2331,691
130,6890,2355,755
140,6815,2487,698
150,6864,2436,700
160,7065,1985,950
170,7082,1981,937
180,7103,1978,919
190,7306,1892,802
200,7254,1948,798
210,7281,1949,770
220,7252,1961,787
230,7288,1951,761
240,7347,1889,764
250,7345,1904,751
260,7279,1822,899
270,7014,1949,1037
280,6941,1996,1063
290,6950,2062,988
300,7082,1966,952
310,6947,2088,965
320,7031,1992,977
330,7598,1594,808
340,7532,1694,774
350,7476,1701,823
360,7568,1617,815
370,6901,2137,962
380,7014,2080,906
390,6927,2135,938
400,6952,2118,930
410,6839,2167,994
420,6910,2123,967
430,6839,2208,953
440,6968,2114,918
450,7338,1945,717
460,7313,2008,679
470,7267,1967,766
480,6861,2416,723
490,6862,2411,727
500,6798,2488,714
510,6870,2439,691
520,7009,2208,783
530,7064,2145,791
540,7064,2175,761
550,7108,2136,756
560,7076,2162,762
570,6955,2299,746
580,6990,2209,801
590,7058,2189,753
600,6601,2614,785
610,6592,2589,819
620,6676,2519,805
630,6610,2634,756
640,6467,2709,824
650,6506,2632,862
660,6398,2717,885
670,6376,2755,869
680,6427,2729,844
690,6180,2937,883
700,6124,2980,896
710,6201,2897,902
720,5993,3037,970
730,5891,3172,937
740,5879,3188,933
750,5880,3221,899
760,5889,3140,971
770,5788,3237,975
780,6221,2848,931
790,5852,3137,1011
800,6038,2939,1023
810,6099,2911,990
820,6044,2981,975
830,6199,2856,945
840,6092,2975,933
850,6131,2946,923
860,5457,3025,1518
870,5452,3067,1481
880,5468,3138,1394
890,5507,3142,1351
900,5588,3107,1305
910,5639,3051,1310
920,5485,3175,1340
930,5427,3146,1427
940,5458,3100,1442
950,5366,3180,1454
960,5500,3081,1419
970,5675,2928,1397
980,5672,3005,1323
990,5558,3171,1271
1000,5740,2978,1282
1010,5610,3115,1275
1020,5754,2986,1260
1030,5755,3001,1244
1040,5741,3023,1236
1050,5548,3216,1236
1060,5644,3061,1295
1070,5515,3194,1291
1080,5588,3075,1337
1090,5603,3094,1303
1100,5691,3171,1138
1110,5614,3136,1250
1120,5734,3101,1165
1130,5583,3197,1220
1140,5610,3186,1204
1150,5689,3121,1190
1160,5592,3201,1207
1170,5681,3130,1189
1180,5733,3086,1181
1190,6054,3085,861
1200,6104,3025,871
1210,6060,3087,853
1220,6028,3082,890
1230,6063,3081,856
1240,6054,3050,896
1250,6049,3079,872
1260,6025,3074,901
1270,6086,3002,912
1280,5943,3162,895
1290,6029,3048,923
1300,6033,3080,887
1310,6025,3095,880
1320,6033,3101,866
1330,5982,3125,893
1340,6086,3036,878
1350,6065,2995,940
1360,6018,3052,930
1370,5889,3135,976
1380,5898,3173,929
1390,5855,3102,1043
1400,5859,3125,1016
1410,5649,3353,998
1420,5661,3327,1012
1430,5635,3315,1050
1440,5738,3226,1036
1450,5695,3232,1073
1460,5657,3341,1002
1470,5662,3264,1074
1480,5725,3239,1036
1490,5678,3277,1045
1500,5593,3325,1082
1510,5689,3289,1022
1520,5619,3366,1015
1530,5691,3292,1017
1540,5597,3383,1020
1550,5574,3324,1102
1560,5610,3306,1084
1570,5683,3257,1060
1580,5694,3292,1014
1590,5514,3184,1302
1600,5535,3232,1233
1610,5573,3211,1216
1620,5500,3289,1211
1630,5482,3216,1302
1640,5575,3211,1214
1650,5530,3208,1262
1660,5459,3293,1248
1670,5526,3231,1243
1680,5565,3163,1272
1690,5689,3170,1141
1700,5598,3253,1149
1710,5531,3274,1195
1720,5557,3301,1142
1730,5536,3369,1095
1740,5558,3285,1157
1750,5197,3627,1176
1760,5240,3542,1218
1770,5189,3566,1245
1780,5359,3379,1262
1790,5259,3443,1298
1800,5313,3490,1197
1810,5081,3128,1791
1820,5063,3105,1832
1830,5245,2854,1901
1840,5125,2995,1880
1850,5146,2928,1926
1860,5170,2973,1857
1870,5152,3006,1842
1880,5256,2873,1871
1890,4970,3060,1970
1900,5150,2930,1920
1910,5115,3012,1873
1920,5068,3054,1878
1930,5100,2873,2027
1940,5122,2979,1899
1950,5150,2841,2009
1960,5020,2898,2082
1970,5242,2729,2029
1980,5202,2746,2052
1990,5225,2657,2118
2000,5271,2758,1971
2010,5258,2763,1979
2020,5305,2724,1971
2030,5282,2729,1989
2040,5422,2562,2016
2050,5433,2418,2149
2060,7805,1589,606
2070,7752,1669,579
2080,7858,1539,603
2090,7693,1779,528
2100,7186,2241,573
2110,7183,2238,579
2120,7106,2279,615
2130,6957,2379,664
2140,6822,2546,632
2150,6546,2805,649
2160,6509,2830,661
2170,6502,2859,639
2180,6534,2809,657
2190,6591,2817,592
2200,6565,2794,641
2210,6742,2643,615
2220,6707,2689,604
2230,6602,2832,566
2240,6514,2754,732
2250,6452,2810,738
2260,6731,2585,684
2270,6748,2553,699
2280,6752,2568,680
2290,6785,2485,730
2300,6829,2486,685
2310,6803,2518,679
2320,6936,2290,774
2330,6972,2240,788
2340,6975,2223,802
2350,6964,2237,799
2360,6988,2217,795
2370,7018,2162,820
2380,7025,2164,811
2390,7071,2182,747
2400,6982,2212,806
2410,7285,2020,695
2420,7221,2073,706
2430,7080,2138,782
2440,7022,2180,798
2450,6965,2152,883
2460,6898,2220,882
2470,6945,2227,828
2480,6937,2190,873
2490,6939,2183,878
2500,7129,1949,922
2510,7159,1991,850
2520,7199,2012,789
2530,7313,1874,813
2540,7302,1876,822
2550,7236,1888,876
2560,7278,1864,858
