episode_number,agent_wins,random_wins,draws
10,6556,2643,801
20,6473,2767,760
30,6965,1629,1406
40,6935,1691,1374
50,6960,1716,1324
60,6869,1735,1396
70,6885,1792,1323
80,6905,1751,1344
90,6824,1815,1361
100,6969,1714,1317
110,6965,1702,1333
120,6896,1705,1399
130,6966,1676,1358
140,7110,1571,1319
150,7123,1590,1287
160,7292,1519,1189
170,7211,1560,1229
180,7165,1600,1235
190,6451,2789,760
200,6395,2840,765
210,6282,2896,822
220,6162,3010,828
230,6076,3074,850
240,6207,3005,788
250,6125,3058,817
260,6242,2996,762
270,6108,3085,807
280,6102,3122,776
290,6060,3158,782
300,6080,3044,876
310,6125,2985,890
320,6076,3015,909
330,6007,3054,939
340,5990,3107,903
350,6032,3056,912
360,5955,3125,920
370,5914,3159,927
380,5931,3130,939
390,5978,3089,933
400,5923,3181,896
410,5997,3023,980
420,5953,3095,952
430,5883,3133,984
440,5924,3132,944
450,6006,3087,907
460,5886,3171,943
470,5910,3210,880
480,5936,3105,959
490,5439,3082,1479
500,5439,3106,1455
510,5412,3053,1535
520,5365,3038,1597
530,5444,3045,1511
540,5538,3017,1445
550,5335,3084,1581
560,5342,3122,1536
570,5351,3086,1563
580,5337,3055,1608
590,5357,3115,1528
600,5337,3095,1568
610,5407,3086,1507
620,5324,3121,1555
630,5374,3110,1516
640,5397,3088,1515
650,5338,3129,1533
660,5351,3098,1551
670,5351,3067,1582
680,5575,3384,1041
690,5676,3328,996
700,5567,3342,1091
710,5535,3405,1060
720,5435,3468,1097
730,4774,3924,1302
740,4796,3964,1240
750,4875,3799,1326
760,4733,3954,1313
770,4751,3952,1297
780,4662,4004,1334
790,4889,3821,1290
800,4699,4014,1287
810,4755,3991,1254
820,4732,4006,1262
830,4807,3912,1281
840,4769,3847,1384
850,4684,3904,1412
860,4790,3984,1226
870,4659,4018,1323
880,4780,3954,1266
890,4740,4020,1240
900,4625,4124,1251
910,4760,4014,1226
920,4752,3983,1265
930,4747,3974,1279
940,4725,3939,1336
950,4773,3934,1293
960,4786,3961,1253
970,4782,4029,1189
980,4755,4034,1211
990,4740,4003,1257
1000,5001,3768,1231
1010,5027,3744,1229
1020,4996,3824,1180
1030,4932,3895,1173
1040,5016,3812,1172
1050,4991,3794,1215
1060,4999,3791,1210
1070,4999,3795,1206
1080,5010,3763,1227
1090,4917,3721,1362
1100,4882,3758,1360
1110,4957,3700,1343
1120,4930,3768,1302
1130,4909,3743,1348
1140,4881,3853,1266
1150,4991,3750,1259
1160,4929,3760,1311
1170,5067,3620,1313
1180,5064,3566,1370
1190,5086,3555,1359
1200,5159,3518,1323
1210,5026,3583,1391
1220,5067,3526,1407
1230,5032,3586,1382
1240,5170,3515,1315
1250,5064,3532,1404
1260,4933,3651,1416
1270,4970,3655,1375
1280,4932,3669,1399
1290,5289,3378,1333
1300,5142,3500,1358
1310,5418,3283,1299
1320,5252,3417,1331
1330,5314,3340,1346
1340,5419,3328,1253
1350,5408,3380,1212
1360,5517,3211,1272
1370,5444,3261,1295
1380,5331,3340,1329
1390,5365,3302,1333
1400,5202,3430,1368
1410,5326,3368,1306
1420,5258,3341,1401
1430,4915,3649,1436
1440,5055,3503,1442
1450,5062,3471,1467
1460,5136,3453,1411
1470,5203,3362,1435
1480,5212,3341,1447
1490,5536,2839,1625
1500,5528,2823,1649
1510,5502,2879,1619
