episode_number,agent_wins,random_wins,draws
10,5228,3465,1307
20,5470,2466,2064
30,5442,2448,2110
40,5420,2516,2064
50,6574,2533,893
60,6554,2508,938
70,6445,2592,963
80,6529,2572,899
90,6518,2550,932
100,6604,2487,909
110,6646,2452,902
120,6601,2497,902
130,6615,2469,916
140,6589,2609,802
150,6697,2513,790
160,6579,2608,813
170,6625,2564,811
180,6690,2500,810
190,6479,2723,798
200,6642,2580,778
210,6474,2692,834
220,6557,2657,786
230,6540,2657,803
240,6596,2533,871
250,6501,2684,815
260,6557,2649,794
270,6500,2709,791
280,6578,2617,805
290,6546,2681,773
300,6516,2739,745
310,6647,2569,784
320,6607,2669,724
330,6574,2654,772
340,6452,2688,860
350,6368,2770,862
360,6407,2787,806
370,6473,2715,812
380,6450,2755,795
390,6411,2800,789
400,6429,2738,833
410,6510,2727,763
420,6392,2810,798
430,6417,2772,811
440,6421,2791,788
450,6449,2775,776
460,6463,2753,784
470,6406,2834,760
480,6461,2774,765
490,6280,2743,977
500,6316,2743,941
510,6192,2774,1034
520,6309,2749,942
530,6162,2723,1115
540,6062,2808,1130
550,6089,2825,1086
560,6148,2730,1122
570,6162,2739,1099
580,6087,2790,1123
590,6147,2764,1089
600,6061,2827,1112
610,6106,2814,1080
620,6150,2796,1054
630,6131,2808,1061
640,5994,2820,1186
650,5952,2924,1124
660,6053,2778,1169
670,6177,2659,1164
680,7089,2066,845
690,7052,2101,847
700,7048,2149,803
710,7081,2047,872
720,7086,2097,817
730,7039,2145,816
740,7180,2004,816
750,7131,2029,840
760,7212,2004,784
770,7016,2080,904
780,7173,2029,798
790,7055,2100,845
800,7127,2010,863
810,7155,1988,857
820,7167,1952,881
830,7220,1940,840
840,7043,1974,983
850,7015,1973,1012
860,7007,2039,954
870,7033,2013,954
880,7047,1971,982
890,7016,1862,1122
900,7098,1773,1129
910,7125,1776,1099
920,7023,1894,1083
930,6990,1941,1069
940,6935,1984,1081
950,6911,1944,1145
960,6962,1923,1115
970,7044,1893,1063
980,7039,1872,1089
990,7138,1700,1162
1000,6990,1835,1175
1010,7133,1730,1137
1020,7186,1689,1125
1030,6779,1849,1372
1040,6846,1885,1269
1050,6854,1839,1307
1060,6731,1942,1327
1070,6764,1943,1293
1080,6699,1951,1350
1090,6924,1818,1258
1100,6759,1892,1349
1110,6871,1868,1261
1120,6794,1948,1258
1130,6782,1907,1311
1140,6793,1855,1352
1150,6817,1817,1366
1160,6824,1865,1311
1170,6808,1781,1411
1180,6832,1831,1337
1190,6895,1817,1288
1200,6868,1798,1334
1210,6822,1844,1334
1220,6733,1904,1363
1230,6709,1914,1377
1240,6705,1882,1413
1250,6735,1880,1385
1260,6789,1832,1379
1270,6749,1879,1372
1280,6848,1802,1350
1290,6804,1804,1392
1300,6867,1810,1323
1310,6848,1759,1393
1320,6833,1851,1316
1330,6845,1803,1352
1340,6825,1828,1347
1350,6847,1766,1387
1360,6859,1784,1357
1370,6827,1796,1377
1380,6831,1892,1277
1390,6871,1790,1339
1400,6801,1863,1336
1410,6803,1810,1387
1420,6847,1793,1360
1430,6842,1818,1340
1440,6861,1802,1337
1450,6880,1779,1341
1460,6715,1924,1361
1470,6978,1729,1293
1480,6933,1726,1341
1490,6850,1750,1400
1500,6919,1707,1374
1510,6948,1769,1283
1520,5548,3294,1158
1530,5496,3313,1191
1540,5583,3224,1193
1550,5584,3167,1249
1560,5496,3249,1255
1570,5550,3289,1161
1580,5591,3158,1251
1590,5535,3226,1239
1600,5501,3203,1296
1610,5558,3190,1252
1620,5610,3125,1265
1630,5653,3167,1180
1640,5582,3220,1198
1650,5626,3132,1242
1660,5684,3156,1160
1670,5618,3132,1250
1680,5486,3283,1231
1690,5543,3157,1300
1700,5604,3190,1206
1710,5620,3156,1224
1720,5614,3154,1232
1730,5559,3247,1194
1740,5666,3159,1175
1750,5667,3099,1234
1760,5617,3156,1227
1770,5610,3167,1223
1780,5672,3139,1189
1790,5344,3315,1341
1800,5456,3253,1291
1810,5525,3227,1248
1820,5452,3241,1307
1830,5413,3334,1253
1840,5439,3290,1271
1850,5368,3375,1257
1860,5493,3307,1200
1870,5423,3348,1229
1880,5421,3263,1316
1890,5480,3306,1214
1900,5510,3253,1237
1910,5465,3297,1238
1920,5475,3289,1236
1930,5518,3259,1223
1940,5355,3395,1250
1950,5395,3353,1252
1960,5509,3213,1278
1970,5397,3340,1263
1980,5324,3391,1285
1990,5395,3296,1309
2000,5398,3401,1201
2010,5310,3468,1222
2020,5306,3456,1238
2030,5196,3588,1216
2040,5269,3467,1264
2050,5452,3359,1189
2060,5238,3486,1276
2070,5237,3437,1326
2080,5331,3444,1225
2090,5295,3499,1206
2100,5225,3524,1251
2110,5310,3484,1206
2120,5246,3533,1221
2130,5330,3389,1281
2140,5244,3452,1304
2150,5148,3658,1194
2160,5076,3661,1263
2170,4995,3765,1240
2180,4982,3775,1243
2190,5006,3716,1278
2200,5083,3692,1225
2210,5032,3751,1217
2220,5129,3700,1171
2230,5060,3674,1266
2240,5183,3537,1280
2250,5192,3579,1229
2260,5204,3507,1289
2270,5146,3601,1253
2280,5188,3558,1254
2290,5192,3569,1239
2300,5054,3700,1246
2310,5184,3574,1242
2320,5192,3584,1224
2330,5110,3628,1262
2340,5172,3562,1266
2350,5137,3617,1246
2360,5121,3639,1240
2370,6866,2029,1105
2380,6836,2063,1101
2390,6890,2056,1054
2400,6836,2055,1109
2410,6853,2079,1068
2420,6884,2084,1032
2430,6890,2031,1079
2440,6826,2105,1069
2450,6524,2169,1307
2460,6441,2206,1353
2470,6456,2256,1288
2480,6465,2164,1371
2490,6437,2281,1282
2500,6404,2214,1382
2510,6471,2206,1323
2520,6465,2219,1316
2530,6397,2291,1312
2540,6465,2230,1305
2550,7035,1727,1238
2560,6987,1837,1176
2570,7086,1740,1174
2580,7074,1730,1196
2590,7027,1800,1173
2600,7082,1777,1141
2610,7050,1811,1139
2620,7157,1710,1133
2630,7042,1788,1170
2640,7055,1836,1109
2650,4931,3497,1572
2660,4947,3488,1565
2670,4978,3446,1576
2680,4903,3561,1536
2690,4774,3605,1621
2700,4879,3558,1563
2710,5080,3536,1384
2720,5046,3542,1412
2730,5220,3375,1405
2740,4902,3585,1513
2750,5076,3507,1417
2760,5068,3502,1430
2770,4993,3576,1431
2780,5002,3605,1393
2790,4985,3534,1481
2800,4985,3559,1456
2810,4874,3851,1275
2820,5012,3715,1273
2830,4928,3836,1236
2840,4899,3809,1292
2850,5015,3743,1242
2860,4959,3774,1267
2870,4919,3772,1309
2880,4916,3793,1291
2890,5080,3654,1266
2900,4957,3778,1265
2910,4997,3764,1239
2920,4979,3747,1274
2930,5051,3704,1245
2940,4990,3765,1245
2950,5024,3816,1160
2960,5111,3742,1147
2970,5001,3801,1198
2980,5005,3802,1193
2990,5063,3660,1277
3000,5052,3660,1288
3010,5148,3694,1158
3020,5029,3745,1226
3030,5065,3757,1178
3040,5188,3640,1172
3050,5173,3638,1189
3060,5120,3617,1263
3070,5178,3662,1160
3080,5189,3579,1232
3090,5267,3604,1129
3100,5291,3698,1011
3110,5267,3849,884
3120,5557,3697,746
3130,5468,3705,827
3140,5486,3744,770
3150,5573,3647,780
3160,5456,3736,808
3170,5558,3515,927
3180,5609,3445,946
3190,5610,3435,955
3200,5798,3442,760
3210,5710,3388,902
3220,5702,3376,922
3230,5777,3404,819
3240,5757,3394,849
3250,5623,3492,885
3260,5673,3449,878
3270,5767,3397,836
